State Code,Product Group,Pack Size (BP/CP),TOTAL/MT,vertical_value,zone
PB,Soyabean,CP,-1500,HBC:Rasoi:BIB,PBR1
RJ,Palm,BP,-1550,HBC:Rasoi:BIB,RJR1
RJ,Palm,CP,-1550,HBC:Rasoi:BIB,RJR1
RJ,Soyabean,BP,-1500,HBC:Rasoi:BIB,RJR1
RJ,Soyabean,CP,-1500,HBC:Rasoi:BIB,RJR1
SK,Palm,BP,550,HBC:Rasoi:BIB,SKR1
SK,Palm,CP,550,HBC:Rasoi:BIB,SKR1
SK,Soyabean,BP,700,HBC:Rasoi:BIB,SKR1
SK,Soyabean,CP,700,HBC:Rasoi:BIB,SKR1
TG,Palm,BP,-800,HBC:Rasoi:BIB,TGR1
TG,Palm,CP,-800,HBC:Rasoi:BIB,TGR1
TG,Soyabean,BP,-800,HBC:Rasoi:BIB,TGR1
TG,Soyabean,CP,-800,HBC:Rasoi:BIB,TGR1
TR,Palm,BP,650,HBC:Rasoi:BIB,TRR1
TR,Palm,CP,650,HBC:Rasoi:BIB,TRR1
TR,Soyabean,BP,1000,HBC:Rasoi:BIB,TRR1
TR,Soyabean,CP,1000,HBC:Rasoi:BIB,TRR1
UPE,Palm,BP,550,HBC:Rasoi:BIB,UPER1
UPE,Palm,CP,550,HBC:Rasoi:BIB,UPER1
UPE,Soyabean,BP,700,HBC:Rasoi:BIB,UPER1
UPE,Soyabean,CP,700,HBC:Rasoi:BIB,UPER1
UPW,Palm,BP,-1550,HBC:Rasoi:BIB,UPWR1
UPW,Palm,CP,-1550,HBC:Rasoi:BIB,UPWR1
UPW,Soyabean,BP,-1500,HBC:Rasoi:BIB,UPWR1
UPW,Soyabean,CP,-1500,HBC:Rasoi:BIB,UPWR1
WB,Palm,BP,550,HBC:Rasoi:BIB,WBR1
WB,Palm,CP,550,HBC:Rasoi:BIB,WBR1
WB,Soyabean,BP,700,HBC:Rasoi:BIB,WBR1
WB,Soyabean,CP,900,HBC:Rasoi:BIB,WBR1
BH,Palm,BP,550,HBC:Rasoi:BIB,BHR1
BH,Palm,CP,550,HBC:Rasoi:BIB,BHR1
BH,Soyabean,BP,700,HBC:Rasoi:BIB,BHR1
BH,Soyabean,CP,700,HBC:Rasoi:BIB,BHR1
TN,Palm,BP,-800,HBC:Rasoi:BIB,TNR1
TN,Palm,CP,-800,HBC:Rasoi:BIB,TNR1
TN,Soyabean,BP,-800,HBC:Rasoi:BIB,TNR1
TN,Soyabean,CP,-800,HBC:Rasoi:BIB,TNR1
