"branch_code","state_code","prod_code","dns_prod_code","product_group_code","product_sub_group_code","product_brand_code","prod_desc","cl_stk","UOM1","UOM2","UOM3","UOM4","UOM5","conversion_factor","conversion_factor_two","secondary_unit","pack_size","pack_unit","TD","acedns","black_list","vertical_value","freight_cost","focus","weightage","vat","addl_vat","lead_time","buffer_level","max_level_marketing","gross_weight","packing_realization","category","prod_size","prod_full_name","fg_rm","oil_category","alias","hsn_sac","CGST","IGST","download_time","download_time_cl_stk"
,,"12017",,,,,"NEOLAYRe HAND SANITIZER 200 ML SPRAY","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-04-20 13:00:10"
,,"12018",,,,,"NEOLAYRe HAND SANITIZER 500 ML PUMP","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-04-20 13:00:10"
,,"12019",,,,,"NEOLAYRe HAND SANITIZER 5 LTR","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-04-20 13:00:10"
,,"12020",,,,,"NEEM FACE WASH 50ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-06-21 18:23:38"
,,"12021",,,,,"NEEM FACE WASH 15ML","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-06-21 18:23:38"
,,"12022",,,,,"LEMON FACE WASH 50ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-06-21 18:23:38"
,,"12023",,,,,"LEMON FACE WASH 15ML","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-06-21 18:23:38"
,,"12024",,,,,"PAPAYA FACE WASH 50ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-06-21 18:23:38"
,,"12025",,,,,"PAPAYA FACE WASH 15ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-06-21 18:23:38"
,,"12026",,,,,"ORANGE FACE WASH 50ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-06-21 18:23:38"
,,"12027",,,,,"ORANGE FACE WASH 15ML","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-06-21 18:23:38"
,,"12028",,,,,"CHARCOAL FACE WASH 50ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-07-28 19:31:40"
,,"12029",,,,,"CHARCOAL FACE WASH 15ML","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-07-28 19:31:40"
,,"12030",,,,,"NEOLAYR LIP CARE 10 GM","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-12-10 13:04:47","2021-11-01 11:13:19"
,,"12031",,,,,"NML 50ML JAR (12+3)","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-12-06 12:54:18"
,,"12032",,,,,"NEOLAYR LIP CARE MINI 5 GM JAR (18+2)","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-12-17 12:32:03"
,,"12033",,,,,"LIP CARE MINI JAR (18+2)","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2021-12-21 11:29:36"
,,"12034",,,,,"NEEM - CHARCOAL FACE WASH COMBO","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-02-10 17:23:03"
,,"12035",,,,,"TRIFALA FACE WASH COMBO","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-03-07 12:53:36"
,,"12036",,,,,"NEOLAYR LITE","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-04-19 12:03:50"
,,"12037",,,,,"NEOLAYR NATURAL PAPAYA GLOWING FACE SCRUB 50 GM","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-05-16 11:50:41"
,,"12038",,,,,"NEOLAYR NATURAL PAPAYA GLOWING FACE SCRUB 15 GM","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-05-16 11:50:41"
,,"12039",,,,,"NEOLAYR NATURAL PAPAYA GLOWING FACE MASK 50 GM","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-05-16 11:50:41"
,,"12040",,,,,"PAPAYA FACE SCRUB 50 GM","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-05-18 10:13:00"
,,"12041",,,,,"PAPAYA FACE SCRUB 15 GM","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-05-18 10:13:00"
,,"12042",,,,,"PAPAYA FACE MASK 50 GM","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-05-18 10:13:00"
,,"12043",,,,,"PAPAYA FACE MASK 15 GM","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-05-18 10:13:00"
,,"12044",,,,,"PAPAYA FACIAL KIT","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-05-18 10:13:00"
,,"12045",,,,,"TRIFALA 15GM JAR","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-06-03 11:59:37"
,,"12046",,,,,"NEOLAYR MICELLAR CLEANSING WATER","0",,,,,,,,NULL,,,"0","N","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-07-18 18:15:40"
,,"12047",,,,,"NEOLAYR MICELLAR CLEANSING WATER 100ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-07-18 18:17:52"
,,"12048",,,,,"NEOLAYR LITE FACE WASH","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-08-04 13:16:22"
,,"12049",,,,,"PRO ENLITE DAY CREAM (40 GM)","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-10-18 12:09:56"
,,"12050",,,,,"PRO ENLITE FACE WASH (100 ML)","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-10-18 12:09:56"
,,"12051",,,,,"PRO ENLITE NIGHT CREAM (40 GM)","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-10-18 12:09:56"
,,"12052",,,,,"PRO ENLITE SERUM (30 ML)","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-10-18 12:09:56"
,,"12053",,,,,"PRO SALICYLIC ACID FACE WASH (100 ML)","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-10-18 12:09:56"
,,"12054",,,,,"PRO SALICYLIC ACID SERUM (30 ML)","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-10-18 12:09:56"
,,"12055",,,,,"PRO VITAMIN C FACE WASH (100 ML)","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-10-18 12:09:56"
,,"12056",,,,,"PRO ENLITE SKIN TONER (100 ML)","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-10-22 15:02:34"
,,"12057",,,,,"PRO VITAMIN C SKIN TONER (100 ML)","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-10-22 15:02:34"
,,"12058",,,,,"PRO VITAMIN C SERUM (30 ML)","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-10-22 15:02:34"
,,"12059",,,,,"PRO SUNSCREEN SPF 30+ (50 GM)","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-10-22 15:02:34"
,,"12060",,,,,"NEOLAYR 365 DAILY MOISTURISING LOTION (450 ML)","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-10-22 15:22:56"
,,"12061",,,,,"NEOLAYR SHEA BODY BUTTER (200 GM)","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-10-22 15:22:56"
,,"12062",,,,,"PRO ETERNA HYALURONIC ACID AGE RENEWAL TONER (100 ML)","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-10-22 15:22:56"
,,"12063",,,,,"NEOLAYR OIL FREE LIGHT MOISTURISING GEL (100 GM)","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-10-22 15:22:56"
,,"12064",,,,,"PROHAIR QUICK HAIR FALL CONTROL SOLUTION 40 ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-11-07 14:13:53"
,,"12065",,,,,"ROUND THE CLOCK ALOE THERAPY","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-11-09 12:38:24"
,,"12066",,,,,"PRO ETERNA HYALURONIC ACID AGE RENEWAL FACE SERUM (30 ML)","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-11-19 10:57:38"
,,"12067",,,,,"NEOLAYR INTENSE MOISTURISING LOTION (450 ML)","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-11-19 10:57:38"
,,"12068",,,,,"NEOLAYR LAVENDER BODY BUTTER 200 GM","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-12-20 13:03:51"
,,"12069",,,,,"NEOLAYR GLOW BODY BUTTER 200 GM","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-12-20 13:03:51"
,,"12070",,,,,"NEOLAYR PRO VITAMIN C RADIANCE RESTORATION FACE CREAM 40 GM","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-12-20 13:03:51"
,,"12071",,,,,"NEOLAYR PRO ETERNA HYALURONIC ACID FACE CREAM 40 GM","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2022-12-20 13:03:51"
,,"12072",,,,,"ROUND THE CLOCK CLEANSING KIT","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2023-04-10 12:48:14"
,,"12073",,,,,"NEOLAYR PRO ULTRABLOCK MAX AQUA GEL SUNSCREEN SPF 100+","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2023-04-19 10:21:45"
,,"12074",,,,,"NEOLAYR ALOE VERA & GREEN TEA FACE WASH 100 ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2023-05-24 10:49:23"
,,"12075",,,,,"NEOLAYR LITE LIGHTENING & BRIGHTENING FACE SERUM 30 ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2023-05-25 10:25:22"
,,"12076",,,,,"NEOLAYR  ALOE VERA OIL FREE HYDRATING FACE GEL 100 ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2023-05-25 11:11:08"
,,"12077",,,,,"PAPAYA FACE WASH 200ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2023-06-17 11:22:51"
,,"12078",,,,,"CHARCOAFACE WASH 200 ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2023-08-14 15:08:49"
,,"12079",,,,,"NEEM FACE WASH 200 ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2023-08-14 15:08:49"
,,"12080",,,,,"NEOLAYR LITE FACE WASH 100 ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2023-08-14 15:08:49"
,,"12081",,,,,"NEOLAYR MICELLAR CLEANSING WATER 200 ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2023-08-14 15:08:49"
,,"12082",,,,,"NEOLAYR PRO ETERNA-AD AGE DEFYING UNDER EYE CREAM 15 GM","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2023-09-01 13:06:38"
,,"12083",,,,,"LITE KIT","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2023-10-10 15:05:48"
,,"12084",,,,,"NEOLAYR 365 DAILY MOISTURISING LOTION (250 ML)","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2023-10-12 18:04:44"
,,"12085",,,,,"NEOLAYR SHEA BODY BUTTER (50 GM)","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2023-10-12 18:49:47"
,,"12086",,,,,"NEOLAYR 365 MOISTURISING LIP CARE 10 GM","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2023-11-14 10:11:33"
,,"12087",,,,,"NEOLAYR CALAMINE 100 ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2024-01-18 14:24:55"
,,"12088",,,,,"NEOLAYR SUNSCREEN SPF 30+ (50 GM)","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2024-05-10 14:49:20"
,,"12089",,,,,"NEOLAYR SUNSCREEN SPF 30++ (50GM)","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2024-06-15 12:02:21"
,,"12090",,,,,"LITE FACE CREAM (AIRLESS) 40GM","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2024-09-27 15:51:08"
,,"12091",,,,,"NEOLAYR ALOE VERA & GREEN TEA FACE WASH (CONTAINER) 100 ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2024-09-27 15:51:08"
,,"12092",,,,,"NEOLAYR ALOE VERA OIL FREE HYDRATING FACE GEL (CONTAINER) 100 ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-09-27 15:51:08","2024-09-27 15:51:08"
,,"12093",,,,,"NEOLAYR INTENSE MOISTURISING LOTION (250 ML)","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-12-10 13:04:47","2024-12-10 13:04:47"
,,"12094",,,,,"NEOLAYR 365 DAILY MOISTURISING LOTION (250 ML) 1+1 COMBO PACK","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-12-10 13:04:47","2024-12-10 13:04:47"
,,"12095",,,,,"NEOLAYR ALOE VERA & GREEN TEA FACE WASH (CONTAINER) 100ML","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-12-10 13:04:47","2024-12-10 13:04:47"
,,"12096",,,,,"NEOLAYR ALOE VERA OIL FREE HYDRATING FACE GEL (CONTAINER) 100GM","0",,,,,,,,NULL,,,"0","Y","N",,"0",,,"0","0",,,,,"0",,,,,,,,"0","0","2024-12-10 13:04:47","2024-12-10 13:04:47"
