Branch Code,April Base Volume,April Base Volume Achv,May Base Volume,May Base Volume Achv,June Base Volume,June Base Volume  Achv,July Base Volume,July Base Volume Achv,August Base Volume,August Base Volume Achv,September Base Volume,September Base Volume Achv,October Base Volume,October Base Volume Achv,November Base Volume,November Base Volume Achv,December Base Volume,December Base Volume Achv,January Base Volume,January Base Volume Achv,February Base Volume,February Base Volume Achv,March Base Volume,March Base Volume Achv
A118,0,0,0,0,0,0,0,0,0,0,0,2000.6,0,2287.5,0,1907.3,0,2210.9,0,2180.85,0,2200.6,0,0
B001,0,0,0,0,0,0,0,0,0,0,0,14210.1,0,14157.7,0,16190.25,0,19630.1,0,20407.6,0,17536.8,0,0
B002,0,0,0,0,0,0,0,0,0,0,0,2186.1,0,3026.65,0,3525.15,0,5242.25,0,4894.4,0,4344.55,0,0
B003,0,0,0,0,0,0,0,0,0,0,0,3031.3,0,3023.7,0,3515,0,2736.05,0,4166.35,0,3896.25,0,0
B004,0,0,0,0,0,0,0,0,0,0,0,7998.4,0,7566.55,0,8336.1,0,8736.5,0,11552,0,9830.5,0,0
B005,0,0,0,0,0,0,0,0,0,0,0,5719,0,5948.95,0,5627,0,5670,0,6129.5,0,6111,0,0
B006,0,0,0,0,0,0,0,0,0,0,0,1404,0,1578,0,1263,0,1314.5,0,1278,0,1104.5,0,0
C001,0,0,0,0,0,0,0,0,0,0,0,10658.4,0,18630.85,0,11423.9,0,15173.15,0,17366.55,0,15228.45,0,0
C002,0,0,0,0,0,0,0,0,0,0,0,21423.26,0,25102.94,0,20049.75,0,17892.6,0,18741,0,22523,0,0
DN01,0,0,0,0,0,0,0,0,0,0,8600,6257.5,7600,9629,9200,11737.5,11200,17228.5,0,18916.5,0,16438.9,0,0
DN02,0,0,0,0,0,0,0,0,0,0,3200,2224,2800,4974,3600,4067,4400,5209,0,5684,0,5428.4,0,0
DN03,0,0,0,0,0,0,0,0,0,0,8500,6604.3,6400,8085.95,8000,9577.2,8800,14092.7,0,14860.55,0,12731.45,0,0
DN04,0,0,0,0,0,0,0,0,0,0,6200,5868.95,5200,6197.1,6000,8324.65,6400,11036.1,0,11178.65,0,9266.2,0,0
DN05,0,0,0,0,0,0,0,0,0,0,3400,4325.4,2720,3909.65,3200,5273.7,4000,5001.25,0,5220.7,0,3037,0,0
DN06,0,0,0,0,0,0,0,0,0,0,3800,2087.85,2400,3177.4,3600,3138.45,4400,4746,0,6412.5,0,6163.05,0,0
DN07,0,0,0,0,0,0,0,0,0,0,1800,1018,1200,1230,1440,1202,1600,1747.5,0,1650.15,0,1563.5,0,0
DN08,0,0,0,0,0,0,0,0,0,0,2600,546.5,1280,1223.2,2000,1262.05,2240,2015.45,0,1894.3,0,1963.75,0,0
DN10,0,0,0,0,0,0,0,0,0,0,1000,786.35,1040,2339.95,1440,2520,2080,5458.3,0,10292.2,0,7419.7,0,0
DN11,0,0,0,0,0,0,0,0,0,0,5400,1190.9,1600,3191.15,2800,2879.5,4000,4676.35,0,7366.05,0,5396.35,0,0
EE01,0,0,0,0,0,0,0,0,0,0,8000,4734.9,6160,4166.75,6800,4181.25,7600,7873.35,0,9833.15,0,10367.1,0,0
EE03,0,0,0,0,0,0,0,0,0,0,2400,856,1040,665,1760,795.5,2000,1181,0,1721.5,0,2439,0,0
EE04,0,0,0,0,0,0,0,0,0,0,4300,752,2400,828,3200,798.75,4400,1425.65,0,1001.15,0,1291.8,0,0
EE06,0,0,0,0,0,0,0,0,0,0,4000,531,800,613.95,1200,572,2000,1532.5,0,1404,0,1730.65,0,0
EE08,0,0,0,0,0,0,0,0,0,0,3200,0,800,44.5,1200,50,1600,72,0,70,0,105,0,0
EE09,0,0,0,0,0,0,0,0,0,0,3200,1158,1400,1278,1800,1330.5,2200,2197,0,2163,0,2668.35,0,0
EE10,0,0,0,0,0,0,0,0,0,0,3200,1255.5,1400,950.5,1800,933.9,2200,2753.5,0,2329.75,0,2827,0,0
EW01,0,0,0,0,0,0,0,0,0,0,3200,671,1360,706,2000,1004.5,2400,1796.65,0,1528,0,1803.5,0,0
EW05,0,0,0,0,0,0,0,0,0,0,2000,76,800,200,1200,178,1600,355,0,340,0,494.5,0,0
EW06,0,0,0,0,0,0,0,0,0,0,1200,52,800,50,1200,175,1440,328,0,213,0,396,0,0
