Customer Code,Name ,April,April Achv.,May,May Achv.,June,June Achv.,July,July Achv.,August,August Achv.,September,September Achv.,October,October Achv.,November,November Achv.,December,December Achv.,January,January Achv.,February,February Achv.,March,March Achv.
NSNE03494,KRISHNA ENTERPRISE,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0
NSNE03563,LUCKY ENTERPRISE (RSSL046),14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0
NSNE03567,MAA JAGGYA ENTERPRISE (RSSM147),6.5,0,6.5,50,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0
NSNE03587,SAIFUDDIN ENTERPRISE,4.5,0,4.5,70,4.5,0,4.5,0,4.5,0,4.5,0,4.5,0,4.5,0,4.5,0,4.5,0,4.5,0,4.5,0
NSNE03654,RABINDRA HARDWARE,22,0,22,500,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0
NSNE03676,DWIPENDU SEKHAR DAS (RSSD101),27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0
NSNE03688,MAA LAXMI HARDWARE,17.6,0,17.6,250,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0
NSNE03710,NIEWLAITSTAR RAMSIEJ (RSSN115),12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0
NSNE03739,SUTING ENTERPRISE (RSSS316),23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0
NSNE03743,RAGHAV HARDWARE,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0
NSNE03757,NILACHAL ENTERPRISE,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0
NSNE03793,LAKSHMI NARAYAN HARDWARE,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0
NSNE03825,SARMA ENTERPRISE(CHANDAN),18,0,18,150,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0
NSNE03855,DHRITI TRADERS,5.5,0,5.5,280,5.5,0,5.5,0,5.5,0,5.5,0,5.5,0,5.5,0,5.5,0,5.5,0,5.5,0,5.5,0
NSNE03871,JOYGURU HARDWARE,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0
NSNE03872,DHAR HARDWARES,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0
NSNE03882,SAHANI HARDWARE (RSSS403),33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0
NSNE03912,M.M ENTERPRISE,14.3,0,14.3,0,14.3,0,14.3,0,14.3,0,14.3,0,14.3,0,14.3,0,14.3,0,14.3,0,14.3,0,14.3,0
NSNE05247,REHANA ENTERPRISE,14.5,0,14.5,0,14.5,0,14.5,0,14.5,0,14.5,0,14.5,0,14.5,0,14.5,0,14.5,0,14.5,0,14.5,0
NSNE05255,BAHNIMAN ENTERPRISE,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0
NSNE05267,B&C TRADE CENTER,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0
NSNE05311,SANAND STEEL AND CEMENT,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0
NSNE05318,B.P. ENTERPRISE,28.325,0,28.325,100,28.325,0,28.325,0,28.325,0,28.325,0,28.325,0,28.325,0,28.325,0,28.325,0,28.325,0,28.325,0
NSNE05368,ASHIK ENTERPRISE,120,0,120,440,120,0,120,0,120,0,120,0,120,0,120,0,120,0,120,0,120,0,120,0
NSNE05378,CHINAKI ENTERPRISE,25,0,25,100,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0
NSNE05386,SHARMA ENTERPRISE (DEBENDRA) (RSSS081),34,0,34,200,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0
NSNE05402,GEETA ENTERPRISE (RSSG021),22,0,22,70,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0
NSNE05415,P. Z. ENTERPRISE,18,0,18,200,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0
NSNE05420,BALAJI HARDWARE,16.5,0,16.5,100,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0
NSNE05424,SARMA ENTERPRISE,41.8,0,41.8,0,41.8,0,41.8,0,41.8,0,41.8,0,41.8,0,41.8,0,41.8,0,41.8,0,41.8,0,41.8,0
NSNE05426,NORTH GUWAHATI PROPERTIES & CONSULTANT (RSSN065),35,0,35,70,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0
NSNE05436,S R K HARDWARE (RSSS249),5,0,5,540,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
NSNE05449,BLACK SEA ENTERPRISE,10.5,0,10.5,100,10.5,0,10.5,0,10.5,0,10.5,0,10.5,0,10.5,0,10.5,0,10.5,0,10.5,0,10.5,0
NSNE05456,DEKA ENTERPRISE (DEBAJIT) (RSSD143),37,0,37,340,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0
NSNE05458,DE VILLA ENTERPRISE (RSSD106),34,0,34,270,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0
NSNE05494,MAA KAMAKHYA HARDWARE,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0
NSNE05503,DEKA ENTERPRISE (SUKLESWAR),13.2,0,13.2,50,13.2,0,13.2,0,13.2,0,13.2,0,13.2,0,13.2,0,13.2,0,13.2,0,13.2,0,13.2,0
NSNE05538,PAUL HARDWARE (PRABHAT) (RSSP038),9,0,9,100,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
NSNE05554,KABERI ENTERPRISE,5.5,0,5.5,0,5.5,0,5.5,0,5.5,0,5.5,0,5.5,0,5.5,0,5.5,0,5.5,0,5.5,0,5.5,0
NSNE05618,A.B ENTERPRISE,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0
NSNE05633,PITASHREE ENTERPRISE,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0
NSNE05640,GUDDEE ENTERPRISE & HARDWARE,19.8,0,19.8,340,19.8,0,19.8,0,19.8,0,19.8,0,19.8,0,19.8,0,19.8,0,19.8,0,19.8,0,19.8,0
NSNE05794,M M ENTERPRISE (ANUP),16.5,0,16.5,300,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0
NSNE05805,TIRUPATI HARDWARE,7.7,0,7.7,200,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0
NSNE05806,B P P ENTERPRISE,8.8,0,8.8,0,8.8,0,8.8,0,8.8,0,8.8,0,8.8,0,8.8,0,8.8,0,8.8,0,8.8,0,8.8,0
NSNE05849,BALIRAM ENTERPRISE,40.7,0,40.7,250,40.7,0,40.7,0,40.7,0,40.7,0,40.7,0,40.7,0,40.7,0,40.7,0,40.7,0,40.7,0
NSNE05851,THAKURIA ENTERPRISE (KISHOR),15.4,0,15.4,0,15.4,0,15.4,0,15.4,0,15.4,0,15.4,0,15.4,0,15.4,0,15.4,0,15.4,0,15.4,0
NSNE05853,MAA LAKHSMI ENTERPRISE,78.1,0,78.1,750,78.1,0,78.1,0,78.1,0,78.1,0,78.1,0,78.1,0,78.1,0,78.1,0,78.1,0,78.1,0
NSNE05930,ABHI ENTERPRISE,33,0,33,400,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0
NSNE05967,E H K HARDWARE,22,0,22,350,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0
NSNE05972,ALI HARDWARE STORES,16.5,0,16.5,250,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0
NSNE06042,CINARY HARDWARE,66,0,66,500,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0
NSNE06044,HUSSAIN HARDWARE (ABIDA ),25.3,0,25.3,500,25.3,0,25.3,0,25.3,0,25.3,0,25.3,0,25.3,0,25.3,0,25.3,0,25.3,0,25.3,0
NSNE06071,SHREE KRISHNA ENTERPRISE (LA),11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0
NSNE06149,OM GANESHA HARDWARE,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0
NSNE06150,D J HARDWARE,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0
NSNE06178,SARMA ENTERPRISE,17.6,0,17.6,150,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0
NSNE06180,S K TRIPTI HARDWARE,22,0,22,200,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0
NSNE06298,ANAND HARDWARE & ELECTRICAL ,150,0,150,0,150,0,150,0,150,0,150,0,150,0,150,0,150,0,150,0,150,0,150,0
NSNE06308,CHOUDHURY HARDWARE (SAFIQUL) (RSSC035),10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0
NSNE06480,MAA DURGA STORE (RSSM141),43.05,0,43.05,0,43.05,0,43.05,0,43.05,0,43.05,0,43.05,0,43.05,0,43.05,0,43.05,0,43.05,0,43.05,0
NSNE06494,SANKARLAL AGARWALA (RSSS021),5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
NSNE06537,AHMED ENTERPRISE (LALPUL) (RSSA236),25,0,25,100,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0
NSNE06562,A S ENTERPRISE (RSSA049),25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0
NSNE06563,BIMAL HARDWARE (RSSB065),15,0,15,300,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
NSNE06599,GANAPATI HARDWARE (MANGALDOI) (RSSG008) (T20),35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0
NSNE06680,SAIKIA STORE (RSSS281),6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0
NSNE06695,JOY GURU TRADERS (RSSJ086),36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0
NSNE06696,M/S C B ENTERPRISE,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0
NSNE06700,BALAJI HARDWARE (HARINDER) (RSSB212),42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0
NSNE06703,SHREE JAGDAMBA HARDWARE (RSSS215),18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0
NSNE06713,JAJODIA STEEL (RSSJ036),12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0
NSNE06722,KEJARIWAL ENTERPRISES (RSSK094),24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0
NSNE06723,BALAJEE STEEL (RSSB070),48.45,0,48.45,0,48.45,0,48.45,0,48.45,0,48.45,0,48.45,0,48.45,0,48.45,0,48.45,0,48.45,0,48.45,0
NSNE06751,TAKAR TRADING AGENCY (RSST057),70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0
NSNE06855,LAXMI HARDWARE & ELECTRICALS (RSSL027),30,0,30,600,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0
NSNE06893,GANPATRAI MOHANLAL,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0
NSNE06917,SREE GONESH CEMENT AND HARDWARE (RSSS308),20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0
NSNE07011,SAMRAT ENTERPRISE & TRADING,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0
NSNE07131,BHABANI ENTERPRISE,6.6,0,6.6,0,6.6,0,6.6,0,6.6,0,6.6,0,6.6,0,6.6,0,6.6,0,6.6,0,6.6,0,6.6,0
NSNE07169,S.G HARDWARE,9.14375,0,9.14375,900,9.14375,0,9.14375,0,9.14375,0,9.14375,0,9.14375,0,9.14375,0,9.14375,0,9.14375,0,9.14375,0,9.14375,0
NSNE07208,JITUMANI ENTERPRISE,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0
NSNE07209,PRATIMA ENTERPRISE,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0
NSNE07240,RAGINI ENTERPRISE,14.3,0,14.3,930,14.3,0,14.3,0,14.3,0,14.3,0,14.3,0,14.3,0,14.3,0,14.3,0,14.3,0,14.3,0
NSNE07301,MAA AMBIKA TRADERS,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0
NSNE40176,RUOKUO KIRE ENTERPRISES,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0
O028,OSWAL TRADERS (RSSO005),15,0,15,100,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
P028,PIONEER HARDWARE (RSSP041),7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0
P123,PAWAN KUMAR SAHU,120,0,120,0,120,0,120,0,120,0,120,0,120,0,120,0,120,0,120,0,120,0,120,0
P143,PUJASHREE HARDWARE (RSSP074),10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0
R148,R I HARDWARE (RSSR125),43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0
S307,SOUTHERN IRON LINK (RSSS108),420,1400,420,0,420,0,420,0,420,0,420,0,420,0,420,0,420,0,420,0,420,0,420,0
S400,SRI RAM ASSOCIATES (RSSS093),96,0,96,0,96,0,96,0,96,0,96,0,96,0,96,0,96,0,96,0,96,0,96,0
SDNE00007,SUHAN ENTERPRISE (RSSS082),15,0,15,110,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
SDNE00019,MAA ROHAN ENTERPRISE (RSSM032),100,0,100,940,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
SDNE00024,DEBAJANI HARDWARE & ENTERPRISE (RSSD033),55,0,55,300,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0
SDNE00025,BEZBARUAH HARDWARE (RSSB053),23,0,23,450,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0
SDNE00026,KALITA ENTERPRISE (DILIP) (RSSK021),25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0
SDNE00030,MAA ENTERPRISE (IFTIKAR) (RSSM098),7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0
SDNE00031,ISLAM ENTERPRISE (RSSI006),10,0,10,60,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0
SDNE00033,BAISHYA ENTERPRISE (RSSB088),34,0,34,110,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0
SDNE00036,RESMINA CONCRETE (RSSR012),17,0,17,380,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0
SDNE00038,HIYANJYOTI ENTERPRISE (RSSH014),12,0,12,20,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0
SDNE00039,MEDHI ENTERPRISE (RSSM051),55,0,55,400,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0
SDNE00042,BHAI BHAI ENTERPRISE (RSSB014),18,0,18,50,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0
SDNE00046,TRISHNA ENTERPRISE (RSST011),15,0,15,180,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
SDNE00049,JITURAJ ENTERPRISE (RSSJ006),47,0,47,520,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0
SDNE00050,N. H. ENTERPRISE (RSSN022),27,0,27,470,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0
SDNE00051,MAA SABINE ENTERPRISE (RSSM114),16,0,16,170,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0
SDNE00052,KALITA ENTERPRISE (DHIREN) (RSSK022),20,0,20,180,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0
SDNE00056,PARVES ENTERPRISE (RSSP010),30,0,30,150,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0
SDNE00057,IRSHAD HARDWARE (RSSI011),18,0,18,150,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0
SDNE00059,FRIEND ENTERPRISE (RSSF003),6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0
SDNE00062,BARMAN BHANDAR (RSSB030),30,0,30,50,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0
SDNE00067,DAS ENTERPRISE (HAJO) (RSSD017),47,0,47,490,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0
SDNE00068,MILAN ENTERPRISE (RSSM093),65,0,65,360,65,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0
SDNE00069,MAINUL ENTERPRISE (RSSM024),85,0,85,770,85,0,85,0,85,0,85,0,85,0,85,0,85,0,85,0,85,0,85,0
SDNE00070,BISWASI ENTERPRISE,20,0,20,160,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0
SDNE00074,ELITE ENTERPRISE (RSSE002),37,0,37,150,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0
