Broker code,Destination Code,acedns
WBSPN01,DES09586,Y
WBSPN01,DES09879,Y
WBSPN01,DES09940,Y
WBSPN01,DES04996,Y
WBSPN01,DES04997,Y
WBSPN01,DES05266,Y
WBSPN01,DES05268,Y
WBSPN01,DES05269,Y
WBSPN01,DES05270,Y
WBSPN01,DES05271,Y
WBSPN01,DES05272,Y
WBSPN01,DES05273,Y
WBSPN01,DES05274,Y
WBSPN01,DES05275,Y
WBSPN01,DES05276,Y
WBSPN01,DES05277,Y
WBSPN01,DES05278,Y
WBSPN01,DES05279,Y
WBSPN01,DES05280,Y
WBSPN01,DES05281,Y
WBSPN01,DES05282,Y
WBSPN01,DES05283,Y
WBSPN01,DES05284,Y
WBSPN01,DES05285,Y
WBSPN01,DES05286,Y
WBSPN01,DES05287,Y
WBSPN01,DES05288,Y
WBSPN01,DES05290,Y
WBSPN01,DES05291,Y
WBSPN01,DES05292,Y
WBSPN01,DES05293,Y
WBSPN01,DES05294,Y
WBSPN01,DES05295,Y
WBSPN01,DES05296,Y
WBSPN01,DES05297,Y
WBSPN01,DES05298,Y
WBSPN01,DES05299,Y
WBSPN01,DES05300,Y
WBSPN01,DES05302,Y
WBSPN01,DES05303,Y
WBSPN01,DES05304,Y
WBSPN01,DES05305,Y
WBSPN01,DES05306,Y
WBSPN01,DES05307,Y
WBSPN01,DES05308,Y
WBSPN01,DES05309,Y
WBSPN01,DES05310,Y
WBSPN01,DES05311,Y
WBSPN01,DES05312,Y
WBSPN01,DES05313,Y
WBSPN01,DES05314,Y
WBSPN01,DES05315,Y
WBSPN01,DES05316,Y
WBSPN01,DES05317,Y
WBSPN01,DES05318,Y
WBSPN01,DES05319,Y
WBSPN01,DES05320,Y
WBSPN01,DES05321,Y
WBSPN01,DES05322,Y
WBSPN01,DES05323,Y
WBSPN01,DES05324,Y
WBSPN01,DES05325,Y
WBSPN01,DES05326,Y
WBSPN01,DES05327,Y
WBSPN01,DES05328,Y
WBSPN01,DES05329,Y
WBSPN01,DES05330,Y
WBSPN01,DES05331,Y
WBSPN01,DES05332,Y
WBSPN01,DES05333,Y
WBSPN01,DES05334,Y
WBSPN01,DES05335,Y
WBSPN01,DES05336,Y
WBSPN01,DES05337,Y
WBSPN01,DES05338,Y
WBSPN01,DES05339,Y
WBSPN01,DES05341,Y
WBSPN01,DES05342,Y
WBSPN01,DES05343,Y
WBSPN01,DES05344,Y
WBSPN01,DES05345,Y
WBSPN01,DES05346,Y
WBSPN01,DES05347,Y
WBSPN01,DES05350,Y
WBSPN01,DES05351,Y
WBSPN01,DES05352,Y
WBSPN01,DES05353,Y
WBSPN01,DES05354,Y
WBSPN01,DES05355,Y
WBSPN01,DES05356,Y
WBSPN01,DES05357,Y
WBSPN01,DES05359,Y
WBSPN01,DES05360,Y
WBSPN01,DES05361,Y
WBSPN01,DES05362,Y
WBSPN01,DES05363,Y
WBSPN01,DES05364,Y
WBSPN01,DES05365,Y
WBSPN01,DES05367,Y
WBSPN01,DES05368,Y
WBSPN01,DES05369,Y
WBSPN01,DES05370,Y
WBSPN01,DES05371,Y
WBSPN01,DES05372,Y
WBSPN01,DES05373,Y
WBSPN01,DES05374,Y
WBSPN01,DES05375,Y
WBSPN01,DES05376,Y
WBSPN01,DES05377,Y
WBSPN01,DES05378,Y
WBSPN01,DES05379,Y
WBSPN01,DES05380,Y
WBSPN01,DES05381,Y
WBSPN01,DES05382,Y
WBSPN01,DES05383,Y
WBSPN01,DES05384,Y
WBSPN01,DES05385,Y
WBSPN01,DES05386,Y
WBSPN01,DES05387,Y
WBSPN01,DES05388,Y
WBSPN01,DES05389,Y
WBSPN01,DES05390,Y
WBSPN01,DES05391,Y
WBSPN01,DES05392,Y
WBSPN01,DES05393,Y
WBSPN01,DES05394,Y
WBSPN01,DES05395,Y
WBSPN01,DES05396,Y
WBSPN01,DES05397,Y
WBSPN01,DES05398,Y
WBSPN01,DES05399,Y
WBSPN01,DES05400,Y
WBSPN01,DES05401,Y
WBSPN01,DES05403,Y
WBSPN01,DES05404,Y
WBSPN01,DES05405,Y
WBSPN01,DES05406,Y
WBSPN01,DES05407,Y
WBSPN01,DES05408,Y
WBSPN01,DES05409,Y
WBSPN01,DES05410,Y
WBSPN01,DES05411,Y
WBSPN01,DES05412,Y
WBSPN01,DES05413,Y
WBSPN01,DES05414,Y
WBSPN01,DES05415,Y
WBSPN01,DES05416,Y
WBSPN01,DES05417,Y
WBSPN01,DES05418,Y
WBSPN01,DES05419,Y
WBSPN01,DES05420,Y
WBSPN01,DES05421,Y
WBSPN01,DES05422,Y
WBSPN01,DES05423,Y
WBSPN01,DES05424,Y
WBSPN01,DES05425,Y
WBSPN01,DES05426,Y
WBSPN01,DES05427,Y
WBSPN01,DES05428,Y
WBSPN01,DES05429,Y
WBSPN01,DES05430,Y
WBSPN01,DES05431,Y
WBSPN01,DES05433,Y
WBSPN01,DES05434,Y
WBSPN01,DES05435,Y
WBSPN01,DES05436,Y
WBSPN01,DES05437,Y
WBSPN01,DES05438,Y
WBSPN01,DES05439,Y
WBSPN01,DES05440,Y
WBSPN01,DES05441,Y
WBSPN01,DES05442,Y
WBSPN01,DES05443,Y
WBSPN01,DES05444,Y
WBSPN01,DES05445,Y
WBSPN01,DES05446,Y
WBSPN01,DES05447,Y
WBSPN01,DES05448,Y
WBSPN01,DES05449,Y
WBSPN01,DES05450,Y
WBSPN01,DES05451,Y
WBSPN01,DES05452,Y
WBSPN01,DES05453,Y
WBSPN01,DES05454,Y
WBSPN01,DES05455,Y
WBSPN01,DES05456,Y
WBSPN01,DES05457,Y
WBSPN01,DES05458,Y
WBSPN01,DES05459,Y
WBSPN01,DES05460,Y
WBSPN01,DES05461,Y
WBSPN01,DES05462,Y
WBSPN01,DES05463,Y
WBSPN01,DES05464,Y
WBSPN01,DES05465,Y
WBSPN01,DES05466,Y
WBSPN01,DES05468,Y
WBSPN01,DES05469,Y
WBSPN01,DES05471,Y
WBSPN01,DES05472,Y
WBSPN01,DES05473,Y
WBSPN01,DES05474,Y
WBSPN01,DES05475,Y
WBSPN01,DES05476,Y
WBSPN01,DES05477,Y
WBSPN01,DES05478,Y
WBSPN01,DES05479,Y
WBSPN01,DES05480,Y
WBSPN01,DES05481,Y
WBSPN01,DES05484,Y
WBSPN01,DES05485,Y
WBSPN01,DES05486,Y
WBSPN01,DES05487,Y
WBSPN01,DES05488,Y
WBSPN01,DES05489,Y
WBSPN01,DES05490,Y
WBSPN01,DES05491,Y
WBSPN01,DES05493,Y
WBSPN01,DES05494,Y
WBSPN01,DES05495,Y
WBSPN01,DES05496,Y
WBSPN01,DES10241,Y
WBSPN01,DES10242,Y
WBSPN01,DES10243,Y
WBSPN01,DES10244,Y
WBSPN01,DES10245,Y
WBSPN01,DES10246,Y
WBSPN01,DES10247,Y
WBSPN01,DES10248,Y
WBSPN01,DES10249,Y
WBSPN01,DES10250,Y
WBSPN01,DES10251,Y
WBSPN01,DES10252,Y
WBSPN01,DES10253,Y
WBSPN01,DES10254,Y
WBSPN01,DES10255,Y
WBSPN01,DES10256,Y
WBSPN01,DES10257,Y
WBSPN01,DES10258,Y
WBSPN01,DES10260,Y
WBSPN01,DES10261,Y
WBSPN01,DES10262,Y
WBSPN01,DES10388,Y
WBSPN01,DES10389,Y
WBSPN01,DES10390,Y
WBSPN01,DES10391,Y
WBSPN01,DES10392,Y
WBSPN01,DES10393,Y
WBSPN01,DES10394,Y
WBSPN01,DES10395,Y
WBSPN01,DES10396,Y
WBSPN01,DES10397,Y
WBSPN01,DES10398,Y
WBSPN01,DES10399,Y
WBSPN01,DES10400,Y
WBSPN01,DES10401,Y
WBSPN01,DES10402,Y
WBSPN01,DES10403,Y
WBSPN01,DES10404,Y
WBSPN01,DES10405,Y
WBSPN01,DES10406,Y
WBSPN01,DES10407,Y
WBSPN01,DES10408,Y
WBSPN01,DES10409,Y
WBSPN01,DES10410,Y
WBSPN01,DES10411,Y
WBSPN01,DES10412,Y
WBSPN01,DES10413,Y
WBSPN01,DES10414,Y
WBSPN01,DES10415,Y
WBSPN01,DES10416,Y
WBSPN01,DES10417,Y
WBSPN01,DES10418,Y
WBSPN01,DES10419,Y
WBSPN01,DES10420,Y
WBSPN01,DES10421,Y
WBSPN01,DES10422,Y
WBSPN01,DES10423,Y
WBSPN01,DES10424,Y
WBSPN01,DES10425,Y
WBSPN01,DES10426,Y
WBSPN01,DES10427,Y
WBSPN01,DES10428,Y
WBSPN01,DES10429,Y
WBSPN01,DES10430,Y
WBSPN01,DES10431,Y
WBSPN01,DES10432,Y
WBSPN01,DES10433,Y
WBSPN01,DES10434,Y
WBSPN01,DES10435,Y
WBSPN01,DES10436,Y
WBSPN01,DES10437,Y
WBSPN01,DES10438,Y
WBSPN01,DES10439,Y
WBSPN01,DES10440,Y
WBSPN01,DES10441,Y
WBSPN01,DES10445,Y
WBSPN01,DES10446,Y
WBSPN01,DES10539,Y
