State,Area,City,Location,Facing,Media,Type,L-R,T-B,Qty,Fascia,Sq.Ft.,Vendor,Vendor Code,Location Facing concatenate
Assam,Jorhat,Jorhat,Chowk Bazar,Ajanta Bypass,Hoarding,NL,40,20,1,1,800,Art & Industry,BRV003,Chowk Bazar (Ajanta Bypass)
Assam,Jorhat,Jorhat,Kenduguri Bypass,Teok,Hoarding,NL,30,30,1,1,900,Archana Ad,BRV002,Kenduguri Bypass (Teok)
Assam,Jorhat,Jorhat,Gar Ali PWD Point,Both Side,Unipole,NL,20,10,1,2,400,RD Advtg,BRV019,Gar Ali PWD Point (Both Side)
Assam,Lower Assam,Bongaigaon,Boro Bazar Entry,Sahid Bedi/Goalpara,Hoarding,NL,30,30,1,1,900,RD Advtg,BRV019,Boro Bazar Entry (Sahid Bedi/Goalpara)
Assam,Lower Assam,Dhubri,Gauripur Town Exit,Dhubri,Hoarding,NL,40,25,1,1,1000,RD Advtg,BRV019,Gauripur Town Exit (Dhubri)
Assam,Lower Assam,Goalpara,NRL Petrol Pump,Agia,Hoarding,NL,30,30,1,1,900,RD Advtg,BRV019,NRL Petrol Pump (Agia)
Assam,Lower Assam,Nalbari,Hajo Road,Hajo,Hoarding,NL,30,20,1,1,600,RD Advtg,BRV019,Hajo Road (Hajo)
Assam,Morigaon,Morigaon,"Morigaon, Main Town",Morigaon Town ,Hoarding,NL,30,20,1,1,600,RD Advtg,BRV019,"Morigaon, Main Town (Morigaon Town )"
Assam,NLP,Dhemaji,Dhemaji Main Market,Silapathar,Hoarding,NL,25,25,1,1,625,Delta Publicity,BRV006,Dhemaji Main Market (Silapathar)
Assam,NLP,Lakhimpur,Lakhimpur Main Town,Guwahati,Hoarding,NL,40,20,1,1,800,RD Advtg,BRV019,Lakhimpur Main Town (Guwahati)
Assam,Tezpur,Biswanath,"Biswanath Charali, Near ASTC",Tezpur,Hoarding,NL,30,30,1,1,900,BNAS,BRV005,"Biswanath Charali, Near ASTC (Tezpur)"
Assam,Tezpur,Tezpur,"Tribeni Point, Tezpur",Mission Chariali,Hoarding,NL,70,20,1,1,1400,RD Advtg,BRV019,"Tribeni Point, Tezpur (Mission Chariali)"
Assam,Tezpur,Tezpur,Tezpur Mission Charali,Mission Chariali Junction,Hoarding,NL,40,30,1,1,1200,Maa Kamakhya Arts,BRV012,Tezpur Mission Charali (Mission Chariali Junction)
Assam,Tezpur,Tezpur,Tezpur Near Civil Hospital,Civil hospital,Hoarding,NL,40,20,1,1,800,Outreach,BRV016,Tezpur Near Civil Hospital (Civil hospital)
Lower Assam 2,Barpeta,Barpeta Road,Simulaguri,Highway,Hoarding,NL,30,30,1,1,900,RD Advtg,BRV019,Simulaguri (Highway)
Lower Assam 2,Barpeta,Barpeta Town,Barpeta Town,Town,Hoarding,NL,40,20,1,1,800,Illustration,BRV011,Barpeta Town (Town)
Lower Assam 2,Barpeta,Barpeta Town,Muslimpatty,Market,Hoarding,NL,30,30,1,1,900,RD Advtg,BRV019,Muslimpatty (Market)
Lower Assam 2,Barpeta,Kalgachia,Kalgachia Town Entry,Barpeta Rd,Hoarding,NL,20,15,1,1,300,RD Advtg,BRV019,Kalgachia Town Entry (Barpeta Rd)
Lower Assam 2,Barpeta,Mandia,Main Town,Market,Hoarding,NL,20,15,1,1,300,RD Advtg,BRV019,Main Town (Market)
Lower Assam 2,Barpeta,Sorbhog,Highway,Guwahati,Hoarding,NL,20,20,1,1,400,Delta Publicity,BRV006,Highway (Guwahati)
Manipur,Manipur,Imphal,Airport Exit,Airport,Hoarding,NL,40,30,1,1,1200,Wingz,BRV022,Airport Exit (Airport)
Mizoram,Lunglei,Lunglei Town,Lunglei Town,Both Side,Gantry,NL,45,5,2,1,450,Priya Comm,BRV018,Lunglei Town (Both Side)
Nagaland,Nagaland,Dimapur,Hongkong Market,Church Road,Hoarding,NL,50,20,1,1,1000,BNAS,BRV005,Hongkong Market (Church Road)
Nagaland,Nagaland,Dimapur,Khermahal,Golagahat Rd,Hoarding,NL,40,30,1,1,1200,Manish Comm,BRV013,Khermahal (Golagahat Rd)
Nagaland,Nagaland,Kohima,PR Hills,Both Side Facing,Unipole,NL,20,10,1,2,400,Manish Comm,BRV013,PR Hills (Both Side Facing)
Nagaon,Nagaon,Amoni,Amoni ,Nagaon,Hoarding,NL,20,15,1,1,300,RD Advtg,BRV019,Amoni  (Nagaon)
Nagaon,Nagaon,Bebejia,Bebejia Entry,Guwahati,Hoarding,NL,20,15,1,1,300,RD Advtg,BRV019,Bebejia Entry (Guwahati)
Nagaon,Nagaon,Borkhat Charali,Borkhat Byepass,Jorhat & Lanka,Hoarding,NL,50,15,1,1,750,RD Advtg,BRV019,Borkhat Byepass (Jorhat & Lanka)
Nagaon,Nagaon,Chaparmukh,Chaparmukh Town Entry,Rly Station,Hoarding,NL,20,15,1,1,300,RD Advtg,BRV019,Chaparmukh Town Entry (Rly Station)
Nagaon,Nagaon,Dhing,Near Dhing Chariali,Moirabari,Hoarding,NL,20,10,1,1,200,BNAS,BRV005,Near Dhing Chariali (Moirabari)
Nagaon,Nagaon,Hojai Town ,Hojai Main Town,Nilbagan,Hoarding,NL,30,20,1,1,600,RD Advtg,BRV019,Hojai Main Town (Nilbagan)
Nagaon,Nagaon,Jakhalabandha,Jakhalabandha Town,Guwahati,Hoarding,NL,40,20,1,1,800,Art & Industry,BRV003,Jakhalabandha Town (Guwahati)
Nagaon,Nagaon,Kaliabor,"Kaliabor,Hatigaon",Jakhalabandha,Hoarding,NL,20,20,1,1,400,Delta Publicity,BRV006,"Kaliabor,Hatigaon (Jakhalabandha)"
Nagaon,Nagaon,Kampur,Kampur Town Entry,Town,Hoarding,NL,20,15,1,1,300,RD Advtg,BRV019,Kampur Town Entry (Town)
Nagaon,Nagaon,Khotiatoli,Khotiatoli Town Entry,Lanka,Hoarding,NL,20,15,1,1,300,RD Advtg,BRV019,Khotiatoli Town Entry (Lanka)
Nagaon,Nagaon,Lanka Town ,Main Road,Rly Station,Hoarding,NL,20,20,1,1,400,Illustration,BRV011,Main Road (Rly Station)
Nagaon,Nagaon,Lanka Town ,Opp Railway Station,Rly Station,Hoarding,NL,30,20,1,1,600,RD Advtg,BRV019,Opp Railway Station (Rly Station)
Nagaon,Nagaon,Lumding Town ,Lumding Town ,Rly Station,Hoarding,NL,25,25,1,1,625,Illustration,BRV011,Lumding Town  (Rly Station)
Nagaon,Nagaon,Nagaon,Bara Bazar,Stadium Market,Hoarding,NL,30,30,1,1,900,RD Advtg,BRV019,Bara Bazar (Stadium Market)
Nagaon,Nagaon,Nagaon Town ,Dhing Road,Nagaon,Hoarding,NL,40,30,1,1,1200,Illustration,BRV011,Dhing Road (Nagaon)
Nagaon,Nagaon,Naltali,Naltali,Tezpur,Hoarding,NL,40,25,1,1,1000,RD Advtg,BRV019,Naltali (Tezpur)
Nagaon,Nagaon,Raha,Raha Town,Guwahati,Hoarding,NL,30,30,1,1,900,RD Advtg,BRV019,Raha Town (Guwahati)
Shillong,East Khasi Hills,Mayrynkneng,Mayrynkneng Bypass,Both Side Ghy/Jowai,Hoarding,NL,20,10,2,1,400,BNAS,BRV005,Mayrynkneng Bypass (Both Side Ghy/Jowai)
Shillong,East Khasi Hills,Pynursla,Pynursla Town Entry,Shillong,Hoarding,NL,20,10,1,1,200,BNAS,BRV005,Pynursla Town Entry (Shillong)
Shillong,East Khasi Hills,Shillong ,Garikhana ,Guwahati ,Hoarding,NL,36,22,1,1,792,Maa Kamakhya Arts,BRV012,Garikhana  (Guwahati )
Shillong,East Khasi Hills,Shillong ,"Fire Brigade, Opp. Petrol Pump, Fire Brigade ",Jowai ,Hoarding,NL,40,20,1,1,800,BNAS,BRV005,"Fire Brigade, Opp. Petrol Pump, Fire Brigade  (Jowai )"
Shillong,East Khasi Hills,Shillong Town - Laitkor,"Laitkor, Lad Smith",Shillong,Hoarding,NL,30,20,1,1,600,BNAS,BRV005,"Laitkor, Lad Smith (Shillong)"
Shillong,East Khasi Hills,Shillong Town - Laitumkhrah,Laitumkhrah Main Market,Fire Brigade,Hoarding,FL,20,20,1,1,400,Gitanjali,BRV009,Laitumkhrah Main Market (Fire Brigade)
Shillong,East Khasi Hills,Shillong Town - Mawlai ,Mawlai,Guwahati,Hoarding,NL,40,20,1,1,800,Wingz,BRV022,Mawlai (Guwahati)
Shillong,East Khasi Hills,Shillong Town - Nongthumai,"Nongthomai, Nr. Garraige (Exit)",Jowai,Hoarding,NL,30,15,1,1,450,BNAS,BRV005,"Nongthomai, Nr. Garraige (Exit) (Jowai)"
Shillong,East Khasi Hills,Shillong Town - Police Bazar ,"MUDA Parking Complex Mall, Police Bazar",PB Point,Hoarding,BL,15,8,1,1,120,Gitanjali,BRV009,"MUDA Parking Complex Mall, Police Bazar (PB Point)"
Shillong,East Khasi Hills,Shillong Town - Polo,Polo Tower Entrance,BSNL Road,Hoarding,NL,30,10,1,1,300,Soubhagya,BRV021,Polo Tower Entrance (BSNL Road)
Shillong,Jaintia,Jowai,Myntudu,Jowai Town,Hoarding,NL,30,20,1,1,600,Soubhagya,BRV021,Myntudu (Jowai Town)
Shillong,Ri Bhoi,Byrnihat ,Byrnihat,Shillong,Hoarding,FL,40,30,1,1,1200,Need Advtg,BRV014,Byrnihat (Shillong)
Shillong,Ri Bhoi,Nongpoh,Opp Police Station,Shillong,Hoarding,NL,60,25,1,1,1500,BNAS,BRV005,Opp Police Station (Shillong)
Shillong,Ri Bhoi,Umsning,Umsning Bypass,Shillong,Hoarding,NL,50,20,1,1,1000,Priya Comm,BRV018,Umsning Bypass (Shillong)
Shillong,West Khasi Hills,Mairang,Mairang Exit 5,Nongstoin,Hoarding,NL,20,10,1,1,200,BNAS,BRV005,Mairang Exit 5 (Nongstoin)
Shillong,West Khasi Hills,Nongstoin,Taxi Stand,Market,Hoarding,NL,20,10,1,1,200,BNAS,BRV005,Taxi Stand (Market)
Silchar,Cachar,Airport Road,Dumurghat,Airport,Hoarding,NL,30,20,1,1,600,Soms,BRV020,Dumurghat (Airport)
Silchar,Cachar,Assam University,Silcoorie,University,Hoarding,NL,20,10,1,1,200,"Glowsign 
Museum",BRV010,Silcoorie (University)
Silchar,Cachar,Bhagabazar,Bhagabazar,Mizoram,Hoarding,NL,20,10,1,1,200,Soms,BRV020,Bhagabazar (Mizoram)
Silchar,Cachar,Fulertal,Manipur Road,Jiribam,Hoarding,NL,20,10,1,1,200,Soms,BRV020,Manipur Road (Jiribam)
Silchar,Cachar,Jirighat,Jirighat Entrance,Silchar,Hoarding,NL,20,10,1,1,200,BNAS,BRV005,Jirighat Entrance (Silchar)
Silchar,Cachar,Nutanbazar,Nutanbazar,Silchar,Hoarding,NL,30,20,1,1,600,Soms,BRV020,Nutanbazar (Silchar)
Silchar,Cachar,Silchar,Tarapur Railway Station Entry,India Club,Hoarding,NL,20,20,1,1,400,Soms,BRV020,Tarapur Railway Station Entry (India Club)
Silchar,Cachar,Silchar Town,"2nd Link Road, 
Hailakandi Road",Medical,Hoarding,NL,20,10,1,1,200,"Glowsign 
Museum",BRV010,"2nd Link Road, 
Hailakandi Road (Medical)"
Silchar,Cachar,Silchar Town,Ambicapatty Point,Premtala,Hoarding,FL,40,20,1,1,800,Soms,BRV020,Ambicapatty Point (Premtala)
Silchar,Cachar,Silchar Town,Ramnagar Near ISBT,Guwahati,Hoarding,NL,20,20,1,1,400,Soms,BRV020,Ramnagar Near ISBT (Guwahati)
Silchar,Cachar,Silchar Town,Rongpur,Silchar,Hoarding,NL,25,25,1,1,625,Soms,BRV020,Rongpur (Silchar)
Silchar,Cachar,Sonabarighat,Sonabarighat,Silchar,Hoarding,NL,20,20,1,1,400,Soms,BRV020,Sonabarighat (Silchar)
Silchar,Cachar,Sonai,Sonai Bazar,Town Entrance,Hoarding,NL,20,10,1,1,200,"Glowsign 
Museum",BRV010,Sonai Bazar (Town Entrance)
Silchar,Cachar,Udharband,Udharband Market,Silchar,Hoarding,NL,20,20,1,1,400,BNAS,BRV005,Udharband Market (Silchar)
Silchar,Hailakandi,Ainakhal,Ainakhal Bazar,Hailakandi,Hoarding,NL,20,10,1,1,200,Soms,BRV020,Ainakhal Bazar (Hailakandi)
Silchar,Hailakandi,Dhaleswar,Dhaleswar Baghmara,Baghmara,Hoarding,NL,20,10,1,1,200,BNAS,BRV005,Dhaleswar Baghmara (Baghmara)
Silchar,Hailakandi,Hailakandi,"Nr. Milon Market, Rabindra Sarani",Bata Point,Hoarding,NL,20,20,1,1,400,Illustration,BRV011,"Nr. Milon Market, Rabindra Sarani (Bata Point)"
Silchar,Hailakandi,Hailakandi Town,College Road,Bata Point,Hoarding,NL,20,10,1,1,200,Soms,BRV020,College Road (Bata Point)
Silchar,Hailakandi,Katlichara,Katlichara,Lala,Hoarding,NL,20,10,1,1,200,BNAS,BRV005,Katlichara (Lala)
Silchar,Hailakandi,Lala,"Lala Entrance, Nr Petrol Pump",Ainakhal,Hoarding,NL,20,10,1,1,200,BNAS,BRV005,"Lala Entrance, Nr Petrol Pump (Ainakhal)"
Silchar,Karimganj,Anipur,Anipur Motor Stand,Bazar,Hoarding,NL,20,10,1,1,200,BNAS,BRV005,Anipur Motor Stand (Bazar)
Silchar,Karimganj,Badarpurghat,Badarpurghat Point,Silchar,Hoarding,NL,20,10,1,1,200,BNAS,BRV005,Badarpurghat Point (Silchar)
Silchar,Karimganj,Bhanga Bazar,Bhanga Bazar,Silchar,Hoarding,NL,25,10,1,1,250,Soms,BRV020,Bhanga Bazar (Silchar)
Silchar,Karimganj,Karimganj,"Karimganj Entrance, Near  ASTC","Silchar Road, Gantline ",Hoarding,NL,40,20,1,1,800,Soms,BRV020,"Karimganj Entrance, Near  ASTC (Silchar Road, Gantline )"
Silchar,Karimganj,Karimganj Town,Sambu Sagar Park,"Town 
Entrance",Hoarding,NL,20,10,1,1,200,"Print 
Maker",BRV017,"Sambu Sagar Park (Town 
Entrance)"
Silchar,Karimganj,Karimganj Town,Patharkandi Road,Tri Junction,Hoarding,NL,30,20,1,1,600,Soms,BRV020,Patharkandi Road (Tri Junction)
Silchar,Karimganj,Nilambazar,Nilambazar Lalpool,Patherkandi,Hoarding,NL,20,10,1,1,200,BNAS,BRV005,Nilambazar Lalpool (Patherkandi)
Silchar,Karimganj,Patherkhandi ,"Patherkhandi, Hatikhain",Karimganj,Hoarding,NL,40,10,1,1,400,BNAS,BRV005,"Patherkhandi, Hatikhain (Karimganj)"
Sivsagar,Sivasagar,Sivasagar,Dolmukh Chariali,Main road,Hoarding,NL,40,20,1,1,800,Binayak,BRV004,Dolmukh Chariali (Main road)
Sivsagar,Sivsagar,Demow,Demow Town Entry,Sivsagar,Hoarding,NL,30,20,1,1,600,Archana Ad,BRV002,Demow Town Entry (Sivsagar)
Sivsagar,Sivsagar,Gaurisagar,Gaurisagar Main Town,Jorhat,Hoarding,NL,25,25,1,1,625,RD Advtg,BRV019,Gaurisagar Main Town (Jorhat)
Sivsagar,Sivsagar,Nazira,Balighat Tiniali,Sivsagar,Hoarding,NL,30,20,1,1,600,RD Advtg,BRV019,Balighat Tiniali (Sivsagar)
Sivsagar,Sivsagar,Simaluguri,Simaluguri Main Market,Town,Hoarding,NL,25,25,1,1,625,Binayak,BRV004,Simaluguri Main Market (Town)
Sivsagar,Sivsagar,Sivsagar,RangGhar Chariali,Town,Hoarding,NL,40,20,1,1,800,RD Advtg,BRV019,RangGhar Chariali (Town)
Sivsagar,Sivsagar,Sivsagar,Station Chariali,Chariali,Hoarding,NL,40,20,1,1,800,Binayak,BRV004,Station Chariali (Chariali)
Sivsagar,Sivsagar,Sonari,Sonari Main Town,Town,Hoarding,NL,30,25,1,1,750,RD Advtg,BRV019,Sonari Main Town (Town)
Tinsukia,Tinsukia,Chabua,Chabua A T Road,Dibrugarh,Hoarding,NL,20,10,1,1,200,RD Advtg,BRV019,Chabua A T Road (Dibrugarh)
Tinsukia,Tinsukia,Dhola,Dhola Sadia Bridge,Tinsukia,Hoarding,NL,30,20,1,1,600,BNAS,BRV005,Dhola Sadia Bridge (Tinsukia)
Tinsukia,Tinsukia,Digboi,Digboi Town Entry,Makum,Hoarding,NL,20,10,1,1,200,RD Advtg,BRV019,Digboi Town Entry (Makum)
Tinsukia,Tinsukia,Makum,Makum Bypass,Makum,Hoarding,NL,30,20,1,1,600,RD Advtg,BRV019,Makum Bypass (Makum)
Tinsukia,Tinsukia,Margherita,Segunbari tiniali,Ledu,Hoarding,NL,30,30,1,1,900,RD Advtg,BRV019,Segunbari tiniali (Ledu)
Tinsukia,Tinsukia,Tinsukia,Laipuli,Dibrugarh,Hoarding,NL,40,20,1,1,800,RD Advtg,BRV019,Laipuli (Dibrugarh)
Tinsukia,Tinsukia,Tinsukia,Tinkonia,Railway station,Hoarding,NL,40,20,1,1,800,RD Advtg,BRV019,Tinkonia (Railway station)
Tinsukia,Tinsukia,Tinsukia Town,Gargo Motors,Dibrugarh,Hoarding,NL,30,15,1,1,450,RD Advtg,BRV019,Gargo Motors (Dibrugarh)
Tinsukia,Tinsukia,Tinsukia Town,ASTC,AT Rd/Chirwapatty,Unipole,NL,20,10,1,2,400,Binayak,BRV004,ASTC (AT Rd/Chirwapatty)
Tinsukia,Tinsukia,Tinsukia Town,Tinkonia,Station/Dibrugarh,Unipole,NL,20,10,1,2,400,Binayak,BRV004,Tinkonia (Station/Dibrugarh)
Tripura,Agartala,Agartala,Colonel Chow,Dainik Sambad road,Hoarding,FL,20,15,1,1,300,Archana Ad,BRV002,Colonel Chow (Dainik Sambad road)
Tripura,Agartala,Agartala,Flyover Milan Sangha,Drop Gate,Hoarding,FL,35,30,1,1,1050,Aask Media,BRV001,Flyover Milan Sangha (Drop Gate)
Tripura,Dharmanagar,Dharmanagar,D M Office,Rajbari,Hoarding,NL,25,20,1,1,500,Aask Media,BRV001,D M Office (Rajbari)
Tripura,Udaipur,Udaipur,Udaipur CNG Station,Agartala road,Hoarding,NL,30,30,1,1,900,Illustration,BRV011,Udaipur CNG Station (Agartala road)
