Customer Code,Destination Code,acedns
NES600,DES00894,Y
NES600,DES00895,Y
NES600,DES00896,Y
NES600,DES00897,N
NES600,DES00898,N
NES600,DES00899,N
NES600,DES00900,N
NES600,DES00901,N
NES600,DES00902,N
NES600,DES00903,N
NES600,DES00904,N
NES600,DES00905,Y
NES600,DES00906,Y
NES600,DES00907,N
NES600,DES00908,Y
NES600,DES00909,Y
NES600,DES00910,Y
NES600,DES00911,Y
NES600,DES00912,Y
NES600,DES00913,Y
NES600,DES00914,Y
NES600,DES00915,Y
NES600,DES00916,Y
NES600,DES00917,Y
NES600,DES00918,N
NES600,DES00919,N
NES600,DES00920,N
NES600,DES00921,N
NES600,DES00922,N
NES600,DES00923,Y
NES600,DES06332,Y
NES600,DES06325,Y
NES600,DES06320,Y
NES600,DES06319,Y
NES600,DES06313,Y
NES600,DES06308,Y
NES600,DES06307,Y
NES600,DES06301,Y
NES600,DES06047,Y
NES600,DES06035,Y
NES600,DES06033,Y
NES600,DES06020,Y
NES600,DES06011,Y
NES600,DES06008,Y
NES600,DES07387,Y
NES600,DES07815,Y
NES600,DES08021,Y
NES600,DES08290,Y
NES600,DES08296,Y
NES600,DES08297,Y
NES600,DES08913,Y
NES600,DES08950,Y
NES600,DES09039,Y
NES600,DES09307,Y
NES600,DES09591,Y
NES600,DES09700,Y
NES600,DES09721,Y
NES600,DES09861,Y
NES600,DES10038,Y
NES600,DES10101,Y
NES600,DES10112,Y
NES600,DES01905,Y
NES600,DES11284,Y
NES600,DES06005,Y
NES600,DES06311,Y
NES600,DES11305,N
NES600,DES11307,Y
NES600,DES11320,Y
NES600,DES11321,Y
NES600,DES11313,Y
