ooh_site_code,state,area,city,location,facing,media,type,L_R,T_B,qty,fascia,sq_ft,vendor,vendor_code,location_facing,is_active
NEOOH063,"Assam","Silchar","Silchar","Tarapur Railway Station Entry","India Club","Hoarding","NL",20,20,1,"1",400,"Soms Communication",BRV020,"Tarapur Railway Station Entry (India Club)",Y
NEOOH064,"Assam","Silchar","Silchar","Ambicapatty Point","Premtala","Hoarding","FL",40,20,1,"1",800,"Soms Communication",BRV020,"Ambicapatty Point (Premtala)",Y
NEOOH065,"Assam","Silchar","Silchar","Rongpur","Sadarghat","Hoarding","NL",25,25,1,"1",625,"Soms Communication",BRV020,"Rongpur (Sadarghat)",Y
NEOOH066,"Assam","Silchar","Silchar","2nd Link Road, Hailakandi Road","Meherpur","Hoarding","NL",20,10,1,"1",200,"Glowsign Museum",BRV009,"2nd Link Road, Hailakandi Road (Meherpur)",N
NEOOH067,"Assam","Silchar","Sonai","Sonai Bazar","Silchar","Hoarding","NL",20,10,1,"1",200,"Glowsign Museum",BRV009,"Sonai Bazar (Silchar)",N
NEOOH068,"Mizoram","Mizoram","Aizawl","BAWNGKAWN LUNGLEI ROAD,CHANMARI – CHALTLANG ROAD,CHANMARI WEST,NGAIZEL,DURTLANG ROAD","Both Side","Kiosks","NL",2.5,3,140,"140",1050,"Priya Communication",BRV016,"BAWNGKAWN LUNGLEI ROAD,CHANMARI – CHALTLANG ROAD,CHANMARI WEST,NGAIZEL,DURTLANG ROAD (Both Side)",Y
NEOOH069,"Mizoram","Mizoram","Lunglei","Lunglei Town","Both Side","Gantry","NL",45,5,2,"2",450,"Priya Communication",BRV016,"Lunglei Town (Both Side)",Y
NEOOH070,"Meghalaya","Shillong","Nongpoh","Nongpoh","Guwahati","Hoarding","NL",40,30,1,"1",1200,"Illustration",BRV010,"Nongpoh (Guwahati)",Y
NEOOH071,"Meghalaya","Shillong","Shillong","Garikhana","Guwahati","Hoarding","NL",36,22,1,"1",792,"Maa Kamakhya Art",BRV011,"Garikhana  (Guwahati)",Y
NEOOH072,"Meghalaya","Shillong","Shillong","Fire Brigade, Opp. Petrol Pump, Fire Brigade","Fire Brigade","Hoarding","NL",40,20,1,"1",800,"BNAS Pvt Ltd",BRV006,"Fire Brigade, Opp. Petrol Pump, Fire Brigade  (Fire Brigade)",Y
NEOOH073,"Meghalaya","Shillong","Shillong","Laitumkhrah Main Market","Guwahati","Hoarding","FL",20,20,1,"1",400,"Gitanjali Advertising",BRV008,"Laitumkhrah Main Market (Guwahati)",Y
NEOOH074,"Meghalaya","Shillong","Byrnihat","Byrnihat Bridge","Guwahati","Hoarding","NL",140,15,1,"1",2100,"Gitanjali Advertising",BRV008,"Byrnihat Bridge (Guwahati)",Y
NEOOH075,"Meghalaya","Shillong","Shillong","District Council","Four Side","Police Point","NL",5,5,4,"4",100,"Veritaas Advertising Pvt. Ltd.",BRV023,"District Council (Four Side)",Y
NEOOH076,"Meghalaya","Shillong","Shillong","Raj Bhawan","Four Side","Police Point","NL",5.5,6,4,"4",132,"Veritaas Advertising Pvt. Ltd.",BRV023,"Raj Bhawan (Four Side)",Y
NEOOH077,"Meghalaya","Shillong","Shillong","Polo Bazar","Three Side","Police Booth","NL",12,5,1,"1",60,"Veritaas Advertising Pvt. Ltd.",BRV023,"Polo Bazar (Three Side)",Y
NEOOH078,"Meghalaya","Shillong","Shillong","Polo Bazar","Three Side","Police Booth","NL",6,5,2,"2",60,"Veritaas Advertising Pvt. Ltd.",BRV023,"Polo Bazar (Three Side)",Y
NEOOH079,"Meghalaya","Shillong","Shillong","Civil Point","Four Side","Police Point","NL",5.5,5.5,4,"4",121,"Veritaas Advertising Pvt. Ltd.",BRV023,"Civil Point  (Four Side)",Y
NEOOH080,"Meghalaya","Shillong","Shillong","Dhankheti","Three Side","Police Booth","NL",11,5,1,"1",55,"Veritaas Advertising Pvt. Ltd.",BRV023,"Dhankheti (Three Side)",Y
NEOOH081,"Meghalaya","Shillong","Shillong","Dhankheti","Three Side","Police Booth","NL",7.5,5,2,"2",75,"Veritaas Advertising Pvt. Ltd.",BRV023,"Dhankheti (Three Side)",Y
NEOOH082,"Meghalaya","Shillong","Shillong","Don Bosco","Three Side","Police Booth","NL",12,5,1,"1",60,"Veritaas Advertising Pvt. Ltd.",BRV023,"Don Bosco  (Three Side)",Y
NEOOH083,"Meghalaya","Shillong","Shillong","Don Bosco","Three Side","Police Booth","NL",6,5,2,"2",60,"Veritaas Advertising Pvt. Ltd.",BRV023,"Don Bosco  (Three Side)",Y
NEOOH084,"Meghalaya","Shillong","Shillong","General Point","Four Side","Police Point","NL",5.5,6,4,"4",132,"Veritaas Advertising Pvt. Ltd.",BRV023,"General Point  (Four Side)",Y
NEOOH085,"Assam","Jorhat","Jorhat","Baruah Charali","Tarajan","Hoarding","NL",25,20,1,"1",500,"Outreach Advertising Pvt Ltd",BRV042,"Baruah Charali (Tarajan)",Y
NEOOH086,"Assam","Jorhat","Teok","Teok, Town Entry","Jorhat","Hoarding","NL",40,25,1,"1",1000,"R D Advertising",BRV017,"Teok, Town Entry (Jorhat)",Y
NEOOH087,"Assam","Lakhimpur","Dhemaji","Dhemaji","Lakhimpur","Hoarding","NL",30,25,1,"1",750,"Prerana Creative",BRV015,"Dhemaji (Lakhimpur)",Y
NEOOH088,"Assam","Lakhimpur","Silapathar","Silapathar","Dhemaji","Hoarding","NL",30,20,1,"1",600,"R D Advertising",BRV017,"Silapathar (Dhemaji)",Y
NEOOH089,"Assam","Tezpur","Gohpur","Gohpur","Tezpur","Hoarding","NL",40,20,1,"1",800,"Art & Industry",BRV003,"Gohpur (Tezpur)",Y
NEOOH090,"Manipur","Manipur","Imphal","Chingmeirong Traffic Point","Assembly & BOC","Hoarding","NL",45,20,1,"1",900,"Bell Advertising Agency",BRV004,"Chingmeirong Traffic Point (Assembly & BOC)",Y
NEOOH091,"Manipur","Manipur","Imphal","Keishampat Junction (Paona Bazar)","Keishampat","Hoarding","NL",45,35,1,"1",1575,"Bell Advertising Agency",BRV004,"Keishampat Junction (Paona Bazar) (Keishampat)",Y
NEOOH092,"Assam","Guwahati Urban","Guwahati","Ganeshguri Flyover","Both Side","Kiosks","BL",3,4,55,"110",1320,"Redolenz Advertising",BRV043,"Ganeshguri Flyover (Both Side)",Y
NEOOH093,"Tripura","Agartala","Agartala","Ashram Chow","Moth Chow","Hoarding","NL",30,20,1,"1",600,"Aask Media",BRV001,"Ashram Chow (Moth Chow)",Y
NEOOH094,"Tripura","Agartala","Agartala","Airport Road","City","Hoarding","NL",20,30,1,"1",600,"Aask Media",BRV001,"Airport Road (City)",Y
NEOOH095,"Tripura","Agartala","Agartala","North Gate, Astabol","North Gate","Hoarding","NL",50,25,1,"1",1250,"Aask Media",BRV001,"North Gate, Astabol (North Gate)",Y
NEOOH096,"Tripura","Udaipur","Bishalgarh","Bishalgarh Town","Town","Hoarding","NL",20,20,1,"1",400,"Aask Media",BRV001,"Bishalgarh Town (Town)",Y
NEOOH097,"Assam","Nagaon","Lumding Town","Lumding Town","Kalibari","Hoarding","NL",25,25,1,"1",625,"Illustration",BRV010,"Lumding Town  (Kalibari)",Y
WBOOH001,"West Bengal","Malda","GAZOLE","GAZOLE,KADUBARI MORE","Raiganj","Hoarding","NL",25,25,1,"1",625,"AMBIKA AD AGENCY",BRV030,"GAZOLE,KADUBARI MORE (Raiganj)",N
WBOOH002,"West Bengal","Dakhin Dinajpur","Balurghat","BALURGHAT HILLI MORE","Gangarampur","Hoarding","NL",20,20,1,"1",400,"AMBIKA AD AGENCY",BRV030,"BALURGHAT HILLI MORE (Gangarampur)",N
WBOOH003,"West Bengal","Uttar Dinajpur","Kaliaganj","KALIAGANJ BUSSTAND","Kushmandi","Hoarding","NL",40,20,1,"1",800,"AMBIKA AD AGENCY",BRV030,"KALIAGANJ BUSSTAND(Kushmandi)",N
WBOOH004,"West Bengal","Malda","SUJAPUR, MALDA","SUJAPUR, MALDA","Farakka","Hoarding","NL",20,20,1,"1",400,"Dristi Advertising Agency",BRV031,"SUJAPUR, MALDA (Farakka)",N
WBOOH005,"West Bengal","Dakhin Dinajpur","BALURGHAT BUS STAND","BALURGHAT BUS STAND","Gangarampur","Hoarding","NL",20,20,1,"1",400,"Dristi Advertising Agency",BRV031,"BALURGHAT BUS STAND (Gangarampur)",N
WBOOH006,"West Bengal","Dakhin Dinajpur","KUSHMUNDI","KUSHMUNDI","Buniyadpur","Hoarding","NL",30,10,1,"1",300,"Dristi Advertising Agency",BRV031,"KUSHMUNDI (Buniyadpur)",N
WBOOH007,"West Bengal","Malda","Pakuahaat","Pakuahaat","Nalalgola","Hoarding","NL",20,20,1,"1",400,"Sarkar Ad Agency",BRV032,"Pakuahaat (Nalalgola)",Y
WBOOH008,"West Bengal","Dakhin Dinajpur","GANGARAMPUR","GANGARAMPUR","Malda","Hoarding","NL",20,20,1,"1",400,"Sarkar Ad Agency",BRV032,"GANGARAMPUR (Malda)",Y
WBOOH009,"West Bengal","Malda","Kaliachak","Kaliachak","Malda","Hoarding","NL",20,20,1,"1",400,"Sarkar Ad Agency",BRV032,"Kaliachak  (Malda)",Y
WBOOH010,"West Bengal","Uttar Dinajpur","Itahar","Itahar","Malda","Hoarding","NL",20,20,1,"1",400,"Sarkar Ad Agency",BRV032,"Itahar (Malda)",Y
WBOOH011,"West Bengal","Uttar Dinajpur","Bilashpur","Botolbari","Siliguri","Hoarding","NL",45,20,1,"1",900,"Artman Advertising",BRV026,"Botolbari (Siliguri)",N
WBOOH012,"West Bengal","Uttar Dinajpur","Ramgunj","Market","Islampur","Hoarding","NL",35,20,1,"1",700,"Artman Advertising",BRV026,"Market (Islampur)",N
WBOOH013,"West Bengal","Uttar Dinajpur","Islampur","Sonapur","Islampur","Hoarding","NL",20,20,1,"1",400,"Artman Advertising",BRV026,"Sonapur (Islampur)",N
WBOOH014,"West Bengal","Uttar Dinajpur","Chopra","Market fcg Siliguri","Siliguri","Hoarding","NL",30,20,1,"1",600,"Artman Advertising",BRV026,"Market fcg Siliguri (Siliguri)",N
WBOOH015,"West Bengal","Jalpaiguri","Gander","More","Fulbari","Hoarding","NL",30,20,1,"1",600,"Artman Advertising",BRV026,"More (Fulbari)",N
WBOOH016,"West Bengal","Jalpaiguri","Mohitnagar","Mohitnagar fly over","Jalpaiguri","Hoarding","NL",40,20,1,"1",800,"Artman Advertising",BRV026,"Mohitnagar fly over (Jalpaiguri)",N
WBOOH017,"West Bengal","Jalpaiguri","Banarhat","Town Entry","Birpara","Hoarding","NL",40,20,1,"1",800,"Artman Advertising",BRV026,"Town Entry (Birpara)",N
WBOOH018,"West Bengal","Jalpaiguri","Nagrakata","Town Entry","Chalsa","Hoarding","NL",40,20,1,"1",800,"Artman Advertising",BRV026,"Town Entry (Chalsa)",N
WBOOH019,"West Bengal","Jalpaiguri","Belakoba","Market","Rail Gate","Hoarding","NL",35,20,1,"1",700,"Artman Advertising",BRV026,"Market (Rail Gate)",Y
WBOOH020,"West Bengal","Jalpaiguri","Dhupguri","Chowpatti","Falakata","Hoarding","FL",50,8,2,"1",800,"Artman Advertising",BRV026,"Chowpatti (Falakata)",N
WBOOH021,"West Bengal","Jalpaiguri","Siliguri","Sevoke road Payel cinema fcg, Vishal","Cosmos mall","Hoarding","FL",40,30,1,"1",1200,"Artman Advertising",BRV026,"Sevoke road Payel cinema fcg, Vishal (Cosmos mall)",N
WBOOH022,"West Bengal","Darjeeling","Siliguri","Bagdogra - Airport Exit","Airport","Hoarding","NL",82,28,1,"1",2296,"Artman Advertising",BRV026,"Bagdogra - Airport Exit (Airport)",Y
WBOOH023,"West Bengal","Jalpaiguri","Bhutki","Bus Stand","Jalpaiguri","Hoarding","NL",30,20,1,"1",600,"Artman Advertising",BRV026,"Bus Stand (Jalpaiguri)",N
WBOOH024,"West Bengal","Jalpaiguri","Siliguri","Tinbatti more","Uttarkanya","Hoarding","FL",40,40,1,"1",1600,"Artman Advertising",BRV026,"Tinbatti more (Uttarkanya)",Y
WBOOH025,"West Bengal","Uttar Dinajpur","Islampur","Kalagachh Bazar","Islampur","Hoarding","NL",20,20,1,"1",400,"P S ENTERPRISE",BRV027,"Kalagachh Bazar (Islampur)",N
WBOOH026,"West Bengal","Darjeeling","Siliguri","Siliguri Airview More","Mahananda Bridge","Hoarding","FL",40,42,1,"1",1680,"P S ENTERPRISE",BRV027,"Siliguri Airview More (Mahananda Bridge)",N
WBOOH027,"West Bengal","Darjeeling","Siliguri","Bihar More","Siliguri","Hoarding","FL",40,35,1,"1",1400,"P S ENTERPRISE",BRV027,"Bihar More (Siliguri)",Y
WBOOH028,"West Bengal","Jalpaiguri","Siliguri","Rambhi Hanuman Mandir","Sikkim","Hoarding","NL",20,20,1,"1",400,"P S ENTERPRISE",BRV027,"Rambhi Hanuman Mandir (Sikkim)",N
WBOOH029,"West Bengal","Kalimpong","Siliguri","Sevoke Down","Siliguri","Hoarding","NL",20,20,1,"1",400,"P S ENTERPRISE",BRV027,"Sevoke Down (Siliguri)",N
WBOOH030,"West Bengal","Jalpaiguri","Siliguri","Medical Road","BSF Camp","Hoarding","FL",40,30,1,"1",1200,"P S ENTERPRISE",BRV027,"Medical Road (BSF Camp)",Y
WBOOH031,"West Bengal","Jalpaiguri","Siliguri","Siliguri Medical More","Shivmandir","Hoarding","FL",30,30,1,"1",900,"P S ENTERPRISE",BRV027,"Siliguri Medical More (Shivmandir)",N
WBOOH032,"West Bengal","Jalpaiguri","Siliguri","Malbazar College More","Chalsa","Hoarding","NL",20,20,1,"1",400,"P S ENTERPRISE",BRV027,"Malbazar College More (Chalsa)",Y
WBOOH033,"Sikkim","South Sikkim","Rangpo","Rangpo Gate (Tarkhola Bridge)","Rongpo Entry","Hoarding","NL",90,20,1,"1",1800,"Demarg Advertisers",BRV028,"Rangpo Gate (Tarkhola Bridge) (Rongpo Entry)",N
WBOOH034,"Sikkim","East Sikkim","Singtham","Singtam Near STP Pharmacuetical","Rangpo","Hoarding","NL",15,9,1,"1",135,"Demarg Advertisers",BRV028,"Singtam Near STP Pharmacuetical (Rangpo)",N
WBOOH035,"Sikkim","East Sikkim","Ranipool","Ranipool Near Agriculture College","Singtham","Hoarding","NL",15,9,1,"1",135,"Demarg Advertisers",BRV028,"Ranipool Near Agriculture College(Singtham)",N
WBOOH036,"Sikkim","East Sikkim","Pakyong","Pakoyong","Town Entry","Hoarding","NL",15,9,1,"1",135,"Demarg Advertisers",BRV028,"Pakoyong (Town Entry)",N
WBOOH037,"Sikkim","East Sikkim","Gangtok","7th Mile Below Sikkim university","Ranipool","Hoarding","NL",15,9,1,"1",135,"Demarg Advertisers",BRV028,"7th Mile Below Sikkim university(Ranipool)",N
WBOOH038,"Sikkim","East Sikkim","Gangtok","Tadong Near Government College","Town","Hoarding","NL",35,3,1,"1",105,"Demarg Advertisers",BRV028,"Tadong Near Government College (Town)",N
WBOOH039,"Sikkim","East Sikkim","Gangtok","Bhojhoghari","Tashi View Point","Hoarding","NL",15,9,1,"1",135,"Demarg Advertisers",BRV028,"Bhojhoghari (Tashi View Point)",N
WBOOH040,"Sikkim","South Sikkim","Namchi","Opp CM bonglow","Namthang","Hoarding","NL",30,10,1,"1",300,"Demarg Advertisers",BRV028,"Opp CM bonglow(Namthang)",N
