COMPANY NAME,Product Name in SFA,Branch Code,Branch Name,Active,PRODUCT TYPE
,STAR WEATHER SHIELD (TRADE),182,KARBI ANGLONG,yes,OTHER COMPETITOR
,ULTRATECH SUPER,182,KARBI ANGLONG,yes,OTHER COMPETITOR
,ULTRATECH PREMIUM,182,KARBI ANGLONG,yes,OTHER COMPETITOR
,STAR DHALAI MASTER TRADE,182,KARBI ANGLONG,yes,OPTIONAL STAR
,DRAGON,183,LOWER ASSAM 3,yes,OTHER COMPETITOR
,STAR CEMENT PPC,183,LOWER ASSAM 3,yes,MANDATORY STAR
,ULTRATECH,183,LOWER ASSAM 3,yes,BENCHMARK COMPETITOR
,DALMIA,183,LOWER ASSAM 3,yes,BENCHMARK COMPETITOR
,TOPCEM,183,LOWER ASSAM 3,yes,OTHER COMPETITOR
,TOPCEM SDC,183,LOWER ASSAM 3,yes,OTHER COMPETITOR
,AMBUJA,183,LOWER ASSAM 3,yes,OTHER COMPETITOR
,SURYA GOLD,183,LOWER ASSAM 3,yes,OTHER COMPETITOR
,DALMIA DSP,183,LOWER ASSAM 3,yes,OTHER COMPETITOR
,AMRIT,183,LOWER ASSAM 3,yes,OTHER COMPETITOR
,BLACK TIGER,183,LOWER ASSAM 3,yes,OTHER COMPETITOR
,NUVOCO DURAGUARD,183,LOWER ASSAM 3,yes,OTHER COMPETITOR
,MAX,183,LOWER ASSAM 3,yes,OTHER COMPETITOR
,STAR WEATHER SHIELD (TRADE),183,LOWER ASSAM 3,yes,OTHER COMPETITOR
,ULTRATECH SUPER,183,LOWER ASSAM 3,yes,OTHER COMPETITOR
,ULTRATECH PREMIUM,183,LOWER ASSAM 3,yes,OTHER COMPETITOR
,STAR DHALAI MASTER TRADE,183,LOWER ASSAM 3,yes,OPTIONAL STAR
,ULTRATECH,184,BISWANATH,yes,BENCHMARK COMPETITOR
,STAR WEATHER SHIELD (TRADE),184,BISWANATH,yes,OTHER COMPETITOR
,ULTRATECH SUPER,184,BISWANATH,yes,OTHER COMPETITOR
,ULTRATECH PREMIUM,184,BISWANATH,yes,OTHER COMPETITOR
,STAR DHALAI MASTER TRADE,184,BISWANATH,yes,OPTIONAL STAR
,SURYA GOLD,184,BISWANATH,yes,OTHER COMPETITOR
,TAJ,184,BISWANATH,yes,OTHER COMPETITOR
,DALMIA,184,BISWANATH,yes,BENCHMARK COMPETITOR
,TOPCEM,184,BISWANATH,yes,OTHER COMPETITOR
,AMBUJA,184,BISWANATH,yes,OTHER COMPETITOR
,AMRIT,184,BISWANATH,yes,OTHER COMPETITOR
,MAX,184,BISWANATH,yes,OTHER COMPETITOR
,BEST,184,BISWANATH,yes,OTHER COMPETITOR
,ATIBAL,184,BISWANATH,yes,OTHER COMPETITOR
,DELTA,184,BISWANATH,yes,OTHER COMPETITOR
,ACC HPC,184,BISWANATH,yes,OTHER COMPETITOR
,DALMIA DSP,184,BISWANATH,yes,OTHER COMPETITOR
,BLACK TIGER,184,BISWANATH,yes,OTHER COMPETITOR
,NUVOCO DURAGUARD,184,BISWANATH,yes,OTHER COMPETITOR
,STAR CEMENT PPC,184,BISWANATH,yes,MANDATORY STAR
,TOPCEM SDC,184,BISWANATH,yes,OTHER COMPETITOR
,DALMIA,185,DHEMAJI,yes,BENCHMARK COMPETITOR
,TOPCEM,185,DHEMAJI,yes,OTHER COMPETITOR
,BEST,185,DHEMAJI,yes,OTHER COMPETITOR
,AMRIT,185,DHEMAJI,yes,OTHER COMPETITOR
,MAX,185,DHEMAJI,yes,OTHER COMPETITOR
,RJ CEMENT,185,DHEMAJI,yes,OTHER COMPETITOR
,TAJ,185,DHEMAJI,yes,OTHER COMPETITOR
,DRAGON,185,DHEMAJI,yes,OTHER COMPETITOR
,SURAKSHA,185,DHEMAJI,yes,OTHER COMPETITOR
,RHINO,185,DHEMAJI,yes,OTHER COMPETITOR
,DALMIA DSP,185,DHEMAJI,yes,OTHER COMPETITOR
,NUVOCO DURAGUARD,185,DHEMAJI,yes,OTHER COMPETITOR
,STAR CEMENT PPC,185,DHEMAJI,yes,MANDATORY STAR
,TOPCEM SDC,185,DHEMAJI,yes,OTHER COMPETITOR
,BLACK TIGER,185,DHEMAJI,yes,OTHER COMPETITOR
,ULTRATECH,185,DHEMAJI,yes,BENCHMARK COMPETITOR
,ULTRATECH SUPER,185,DHEMAJI,yes,OTHER COMPETITOR
,RAMCO,185,DHEMAJI,yes,OTHER COMPETITOR
,AMBUJA,185,DHEMAJI,yes,OTHER COMPETITOR
,STAR WEATHER SHIELD (TRADE),185,DHEMAJI,yes,OTHER COMPETITOR
,AMBUJA PLUS,185,DHEMAJI,yes,OTHER COMPETITOR
,NUVOCO DOUBLE BULL,185,DHEMAJI,yes,OTHER COMPETITOR
,ACC SURAKSHA,185,DHEMAJI,yes,OTHER COMPETITOR
,JSW,185,DHEMAJI,yes,OTHER COMPETITOR
,ULTRATECH PREMIUM,185,DHEMAJI,yes,OTHER COMPETITOR
,STAR DHALAI MASTER TRADE,185,DHEMAJI,yes,OPTIONAL STAR
,ULTRATECH,A101,GUWAHATI,yes,
,BLACK TIGER,A101,GUWAHATI,yes,
,STAR,A101,GUWAHATI,no,
,DALMIA,A101,GUWAHATI,yes,
,TOPCEM,A101,GUWAHATI,yes,
,LAFARGE,A101,GUWAHATI,no,
,AMBUJA,A101,GUWAHATI,yes,
,SURYA GOLD,A101,GUWAHATI,yes,
,AMRIT,A101,GUWAHATI,yes,
,MAX,A101,GUWAHATI,yes,
,BEST,A101,GUWAHATI,yes,
,TAJ,A101,GUWAHATI,yes,
,DALMIA DSP,A101,GUWAHATI,yes,
,NUVOCO DURAGUARD,A101,GUWAHATI,yes,
,STAR CEMENT PPC(ADSTAR),A101,GUWAHATI,yes,
,STAR CEMENT ANTIRUST,A101,GUWAHATI,yes,
,STAR CEMENT PPC,A101,GUWAHATI,yes,
,STAR CEMENT OPC 43,A101,GUWAHATI,yes,
,STAR CEMENT PSC(ADSTAR),A101,GUWAHATI,no,
,TOPCEM SDC,A101,GUWAHATI,yes,
,STAR,A102,LOWER ASSAM,no,
,DALMIA,A102,LOWER ASSAM,yes,
,TOPCEM,A102,LOWER ASSAM,yes,
,LAFARGE,A102,LOWER ASSAM,no,
,AMBUJA,A102,LOWER ASSAM,yes,
,SURYA GOLD,A102,LOWER ASSAM,yes,
,AMRIT,A102,LOWER ASSAM,yes,
,MAX,A102,LOWER ASSAM,yes,
,ACC,A102,LOWER ASSAM,no,
,DRAGON,A102,LOWER ASSAM,yes,
,DALMIA DSP,A102,LOWER ASSAM,yes,
,NUVOCO DURAGUARD,A102,LOWER ASSAM,yes,
,STAR CEMENT PPC(ADSTAR),A102,LOWER ASSAM,yes,
,STAR CEMENT ANTIRUST,A102,LOWER ASSAM,yes,
,STAR CEMENT PPC,A102,LOWER ASSAM,yes,
,STAR CEMENT OPC 43,A102,LOWER ASSAM,yes,
,STAR CEMENT PSC(ADSTAR),A102,LOWER ASSAM,no,
,TOPCEM SDC,A102,LOWER ASSAM,yes,
,ULTRATECH,A102,LOWER ASSAM,yes,
,BLACK TIGER,A102,LOWER ASSAM,yes,
,STAR,A103,TURA,no,
,DALMIA,A103,TURA,yes,
,TOPCEM,A103,TURA,yes,
,SURYA GOLD,A103,TURA,yes,
,AMRIT,A103,TURA,yes,
,MAX,A103,TURA,yes,
,DRAGON,A103,TURA,yes,
,VIRGO,A103,TURA,yes,
,DALMIA DSP,A103,TURA,yes,
,STAR CEMENT PPC(ADSTAR),A103,TURA,yes,
,STAR CEMENT ANTIRUST,A103,TURA,yes,
,STAR CEMENT PPC,A103,TURA,yes,
,STAR CEMENT OPC 43,A103,TURA,yes,
,STAR CEMENT PSC(ADSTAR),A103,TURA,no,
,TOPCEM SDC,A103,TURA,yes,
,STAR,A104,NAGAON,no,
,DALMIA,A104,NAGAON,yes,BENCHMARK COMPETITOR
,TOPCEM,A104,NAGAON,yes,OTHER COMPETITOR
,AMBUJA,A104,NAGAON,yes,OTHER COMPETITOR
,LAFARGE,A104,NAGAON,no,
,BIRLA GOLD,A104,NAGAON,no,
,AMRIT,A104,NAGAON,yes,OTHER COMPETITOR
,MAX,A104,NAGAON,yes,OTHER COMPETITOR
,GOLD STONE,A104,NAGAON,no,
,BEST,A104,NAGAON,yes,OTHER COMPETITOR
,DALMIA DSP,A104,NAGAON,yes,OTHER COMPETITOR
,BLACK TIGER,A104,NAGAON,yes,OTHER COMPETITOR
,NUVOCO DURAGUARD,A104,NAGAON,yes,OTHER COMPETITOR
,STAR CEMENT PPC(ADSTAR),A104,NAGAON,no,
,STAR CEMENT ANTIRUST,A104,NAGAON,no,OPTIONAL STAR
,STAR CEMENT PPC,A104,NAGAON,yes,MANDATORY STAR
,STAR CEMENT OPC 43,A104,NAGAON,no,
,STAR CEMENT PSC(ADSTAR),A104,NAGAON,no,
,TOPCEM SDC,A104,NAGAON,yes,OTHER COMPETITOR
,ULTRATECH,A104,NAGAON,yes,BENCHMARK COMPETITOR
,STAR WEATHER SHIELD (TRADE),A104,NAGAON,yes,OTHER COMPETITOR
,ULTRATECH SUPER,A104,NAGAON,yes,OTHER COMPETITOR
,ULTRATECH PREMIUM,A104,NAGAON,yes,OTHER COMPETITOR
,STAR DHALAI MASTER TRADE,A104,NAGAON,yes,OPTIONAL STAR
,ULTRATECH,A105,TEZPUR,yes,BENCHMARK COMPETITOR
,RAMCO,A105,TEZPUR,yes,
,STAR WEATHER SHIELD (TRADE),A105,TEZPUR,yes,OTHER COMPETITOR
,ULTRATECH SUPER,A105,TEZPUR,yes,OTHER COMPETITOR
,ULTRATECH PREMIUM,A105,TEZPUR,yes,OTHER COMPETITOR
,STAR DHALAI MASTER TRADE,A105,TEZPUR,yes,OPTIONAL STAR
,STAR,A105,TEZPUR,no,
,ACC,A105,TEZPUR,no,
,SURYA GOLD,A105,TEZPUR,yes,OTHER COMPETITOR
,TAJ,A105,TEZPUR,yes,OTHER COMPETITOR
,DALMIA,A105,TEZPUR,yes,BENCHMARK COMPETITOR
,TOPCEM,A105,TEZPUR,yes,OTHER COMPETITOR
,AMBUJA,A105,TEZPUR,yes,OTHER COMPETITOR
,LAFARGE,A105,TEZPUR,no,
,BIRLA GOLD,A105,TEZPUR,no,
,AMRIT,A105,TEZPUR,yes,OTHER COMPETITOR
,MAX,A105,TEZPUR,yes,OTHER COMPETITOR
,GOLD STONE,A105,TEZPUR,no,
,BEST,A105,TEZPUR,yes,OTHER COMPETITOR
,ATIBAL,A105,TEZPUR,yes,OTHER COMPETITOR
,DELTA,A105,TEZPUR,yes,OTHER COMPETITOR
,ACC HPC,A105,TEZPUR,yes,OTHER COMPETITOR
,DALMIA DSP,A105,TEZPUR,yes,OTHER COMPETITOR
,BLACK TIGER,A105,TEZPUR,yes,OTHER COMPETITOR
,NUVOCO DURAGUARD,A105,TEZPUR,yes,OTHER COMPETITOR
,STAR CEMENT PPC(ADSTAR),A105,TEZPUR,no,
,STAR CEMENT ANTIRUST,A105,TEZPUR,no,OPTIONAL STAR
,STAR CEMENT PPC,A105,TEZPUR,yes,MANDATORY STAR
,STAR CEMENT OPC 43,A105,TEZPUR,no,
,STAR CEMENT PSC(ADSTAR),A105,TEZPUR,no,
,TOPCEM SDC,A105,TEZPUR,yes,OTHER COMPETITOR
,STAR,A106,LAKHIMPUR,no,
,DALMIA,A106,LAKHIMPUR,yes,BENCHMARK COMPETITOR
,TOPCEM,A106,LAKHIMPUR,yes,OTHER COMPETITOR
,LAFARGE,A106,LAKHIMPUR,no,
,BIRLA GOLD,A106,LAKHIMPUR,no,
,BEST,A106,LAKHIMPUR,yes,OTHER COMPETITOR
,AMRIT,A106,LAKHIMPUR,yes,OTHER COMPETITOR
,MAX,A106,LAKHIMPUR,yes,OTHER COMPETITOR
,RJ CEMENT,A106,LAKHIMPUR,yes,OTHER COMPETITOR
,TAJ,A106,LAKHIMPUR,yes,OTHER COMPETITOR
,DRAGON,A106,LAKHIMPUR,yes,OTHER COMPETITOR
,SURAKSHA,A106,LAKHIMPUR,yes,OTHER COMPETITOR
,RHINO,A106,LAKHIMPUR,yes,OTHER COMPETITOR
,DALMIA DSP,A106,LAKHIMPUR,yes,OTHER COMPETITOR
,NUVOCO DURAGUARD,A106,LAKHIMPUR,yes,OTHER COMPETITOR
,STAR CEMENT PPC(ADSTAR),A106,LAKHIMPUR,no,
,STAR CEMENT ANTIRUST,A106,LAKHIMPUR,no,OPTIONAL STAR
,STAR CEMENT PPC,A106,LAKHIMPUR,yes,MANDATORY STAR
,STAR CEMENT OPC 43,A106,LAKHIMPUR,no,
,STAR CEMENT PSC(ADSTAR),A106,LAKHIMPUR,no,
,TOPCEM SDC,A106,LAKHIMPUR,yes,OTHER COMPETITOR
,BLACK TIGER,A106,LAKHIMPUR,yes,OTHER COMPETITOR
,ULTRATECH,A106,LAKHIMPUR,yes,BENCHMARK COMPETITOR
,ULTRATECH SUPER,A106,LAKHIMPUR,yes,OTHER COMPETITOR
,RAMCO,A106,LAKHIMPUR,yes,OTHER COMPETITOR
,AMBUJA,A106,LAKHIMPUR,yes,OTHER COMPETITOR
,STAR WEATHER SHIELD (TRADE),A106,LAKHIMPUR,yes,OTHER COMPETITOR
,AMBUJA PLUS,A106,LAKHIMPUR,yes,OTHER COMPETITOR
,NUVOCO DOUBLE BULL,A106,LAKHIMPUR,yes,OTHER COMPETITOR
,ACC SURAKSHA,A106,LAKHIMPUR,yes,OTHER COMPETITOR
,JSW,A106,LAKHIMPUR,yes,OTHER COMPETITOR
,ULTRATECH PREMIUM,A106,LAKHIMPUR,yes,OTHER COMPETITOR
,STAR DHALAI MASTER TRADE,A106,LAKHIMPUR,yes,OPTIONAL STAR
,STAR WEATHER SHIELD (TRADE),A107,AP - BANDERDEWA,yes,OTHER COMPETITOR
,ULTRATECH,A107,AP - BANDERDEWA,yes,BENCHMARK COMPETITOR
,ULTRATECH SUPER,A107,AP - BANDERDEWA,yes,OTHER COMPETITOR
,ULTRATECH PREMIUM,A107,AP - BANDERDEWA,yes,OTHER COMPETITOR
,STAR DHALAI MASTER TRADE,A107,AP - BANDERDEWA,yes,OPTIONAL STAR
,STAR,A107,AP - BANDERDEWA,no,
,DALMIA,A107,AP - BANDERDEWA,yes,BENCHMARK COMPETITOR
,TOPCEM,A107,AP - BANDERDEWA,yes,OTHER COMPETITOR
,BIRLA GOLD,A107,AP - BANDERDEWA,no,
,BEST,A107,AP - BANDERDEWA,yes,OTHER COMPETITOR
,AMRIT,A107,AP - BANDERDEWA,yes,OTHER COMPETITOR
,MAX,A107,AP - BANDERDEWA,yes,OTHER COMPETITOR
,RJ CEMENT,A107,AP - BANDERDEWA,yes,OTHER COMPETITOR
,TAJ,A107,AP - BANDERDEWA,yes,OTHER COMPETITOR
,DRAGON,A107,AP - BANDERDEWA,yes,OTHER COMPETITOR
,SURAKSHA,A107,AP - BANDERDEWA,yes,OTHER COMPETITOR
,RHINO,A107,AP - BANDERDEWA,yes,OTHER COMPETITOR
,LAFARGE,A107,AP - BANDERDEWA,no,
,DALMIA DSP,A107,AP - BANDERDEWA,yes,OTHER COMPETITOR
,NUVOCO DURAGUARD,A107,AP - BANDERDEWA,yes,OTHER COMPETITOR
,STAR CEMENT PPC(ADSTAR),A107,AP - BANDERDEWA,no,
,STAR CEMENT ANTIRUST,A107,AP - BANDERDEWA,no,OPTIONAL STAR
,STAR CEMENT PPC,A107,AP - BANDERDEWA,yes,MANDATORY STAR
,STAR CEMENT OPC 43,A107,AP - BANDERDEWA,no,
,STAR CEMENT PSC(ADSTAR),A107,AP - BANDERDEWA,no,
,TOPCEM SDC,A107,AP - BANDERDEWA,yes,OTHER COMPETITOR
,STAR,A108,AP - LIKABALI,no,
,DALMIA,A108,AP - LIKABALI,yes,BENCHMARK COMPETITOR
,TOPCEM,A108,AP - LIKABALI,yes,OTHER COMPETITOR
,BIRLA GOLD,A108,AP - LIKABALI,no,
,BEST,A108,AP - LIKABALI,yes,OTHER COMPETITOR
,AMRIT,A108,AP - LIKABALI,yes,OTHER COMPETITOR
,MAX,A108,AP - LIKABALI,yes,OTHER COMPETITOR
,RJ CEMENT,A108,AP - LIKABALI,yes,OTHER COMPETITOR
,TAJ,A108,AP - LIKABALI,yes,OTHER COMPETITOR
,DRAGON,A108,AP - LIKABALI,yes,OTHER COMPETITOR
,SURAKSHA,A108,AP - LIKABALI,yes,OTHER COMPETITOR
,RHINO,A108,AP - LIKABALI,yes,OTHER COMPETITOR
,LAFARGE,A108,AP - LIKABALI,no,
,DALMIA DSP,A108,AP - LIKABALI,yes,OTHER COMPETITOR
,NUVOCO DURAGUARD,A108,AP - LIKABALI,yes,OTHER COMPETITOR
,STAR CEMENT PPC(ADSTAR),A108,AP - LIKABALI,no,
,STAR CEMENT ANTIRUST,A108,AP - LIKABALI,no,OPTIONAL STAR
,STAR CEMENT PPC,A108,AP - LIKABALI,yes,MANDATORY STAR
,STAR CEMENT OPC 43,A108,AP - LIKABALI,yes,OPTIONAL STAR
,STAR CEMENT PSC(ADSTAR),A108,AP - LIKABALI,no,
,TOPCEM SDC,A108,AP - LIKABALI,yes,OTHER COMPETITOR
,STAR WEATHER SHIELD (TRADE),A108,AP - LIKABALI,yes,OTHER COMPETITOR
,ULTRATECH,A108,AP - LIKABALI,yes,BENCHMARK COMPETITOR
,ULTRATECH SUPER,A108,AP - LIKABALI,yes,OTHER COMPETITOR
,ULTRATECH PREMIUM,A108,AP - LIKABALI,yes,OTHER COMPETITOR
,STAR DHALAI MASTER TRADE,A108,AP - LIKABALI,yes,OPTIONAL STAR
,STAR WEATHER SHIELD (TRADE),A109,AP- BHALUKPONG,yes,OTHER COMPETITOR
,ULTRATECH,A109,AP- BHALUKPONG,yes,BENCHMARK COMPETITOR
,ULTRATECH SUPER,A109,AP- BHALUKPONG,yes,OTHER COMPETITOR
,ULTRATECH PREMIUM,A109,AP- BHALUKPONG,yes,OTHER COMPETITOR
,STAR DHALAI MASTER TRADE,A109,AP- BHALUKPONG,yes,OPTIONAL STAR
,STAR,A109,AP- BHALUKPONG,no,
,DALMIA,A109,AP- BHALUKPONG,yes,BENCHMARK COMPETITOR
,TOPCEM,A109,AP- BHALUKPONG,yes,OTHER COMPETITOR
,AMBUJA,A109,AP- BHALUKPONG,yes,OTHER COMPETITOR
,LAFARGE,A109,AP- BHALUKPONG,no,
,BIRLA GOLD,A109,AP- BHALUKPONG,no,
,AMRIT,A109,AP- BHALUKPONG,yes,OTHER COMPETITOR
,MAX,A109,AP- BHALUKPONG,yes,OTHER COMPETITOR
,GOLD STONE,A109,AP- BHALUKPONG,no,
,BEST,A109,AP- BHALUKPONG,yes,OTHER COMPETITOR
,ATIBAL,A109,AP- BHALUKPONG,yes,OTHER COMPETITOR
,DELTA,A109,AP- BHALUKPONG,yes,OTHER COMPETITOR
,DALMIA DSP,A109,AP- BHALUKPONG,yes,OTHER COMPETITOR
,BLACK TIGER,A109,AP- BHALUKPONG,yes,OTHER COMPETITOR
,NUVOCO DURAGUARD,A109,AP- BHALUKPONG,yes,OTHER COMPETITOR
,STAR CEMENT PPC(ADSTAR),A109,AP- BHALUKPONG,no,
,STAR CEMENT ANTIRUST,A109,AP- BHALUKPONG,no,OPTIONAL STAR
,STAR CEMENT PPC,A109,AP- BHALUKPONG,yes,MANDATORY STAR
,STAR CEMENT OPC 43,A109,AP- BHALUKPONG,no,
,STAR CEMENT PSC(ADSTAR),A109,AP- BHALUKPONG,no,
,TOPCEM SDC,A109,AP- BHALUKPONG,yes,OTHER COMPETITOR
,STAR,A110,AP - TINSUKIA,no,
,STAR CEMENT PPC(ADSTAR),A110,AP - TINSUKIA,no,
,STAR CEMENT ANTIRUST,A110,AP - TINSUKIA,no,OPTIONAL STAR
,STAR CEMENT PPC,A110,AP - TINSUKIA,yes,MANDATORY STAR
,STAR CEMENT OPC 43,A110,AP - TINSUKIA,no,
,STAR CEMENT PSC(ADSTAR),A110,AP - TINSUKIA,no,
,DALMIA,A110,AP - TINSUKIA,yes,BENCHMARK COMPETITOR
,STAR WEATHER SHIELD (TRADE),A110,AP - TINSUKIA,yes,OTHER COMPETITOR
,ULTRATECH,A110,AP - TINSUKIA,yes,BENCHMARK COMPETITOR
,ULTRATECH SUPER,A110,AP - TINSUKIA,yes,OTHER COMPETITOR
,ULTRATECH PREMIUM,A110,AP - TINSUKIA,yes,OTHER COMPETITOR
,TOPCEM SDC,A110,AP - TINSUKIA,yes,OTHER COMPETITOR
,TOPCEM,A110,AP - TINSUKIA,yes,OTHER COMPETITOR
,STAR DHALAI MASTER TRADE,A110,AP - TINSUKIA,yes,OPTIONAL STAR
,ULTRATECH,A112,JORHAT,yes,BENCHMARK COMPETITOR
,STAR WEATHER SHIELD (TRADE),A112,JORHAT,yes,OTHER COMPETITOR
,ULTRATECH SUPER,A112,JORHAT,yes,OTHER COMPETITOR
,ULTRATECH PREMIUM,A112,JORHAT,yes,OTHER COMPETITOR
,STAR DHALAI MASTER TRADE,A112,JORHAT,yes,OPTIONAL STAR
,STAR,A112,JORHAT,no,
,DALMIA,A112,JORHAT,yes,BENCHMARK COMPETITOR
,TOPCEM,A112,JORHAT,yes,OTHER COMPETITOR
,AMRIT,A112,JORHAT,yes,OTHER COMPETITOR
,MAX,A112,JORHAT,yes,OTHER COMPETITOR
,SURYA GOLD,A112,JORHAT,yes,OTHER COMPETITOR
,AMBUJA,A112,JORHAT,yes,OTHER COMPETITOR
,LAFARGE,A112,JORHAT,no,
,DALMIA DSP,A112,JORHAT,yes,OTHER COMPETITOR
,NUVOCO DURAGUARD,A112,JORHAT,yes,OTHER COMPETITOR
,STAR CEMENT PPC(ADSTAR),A112,JORHAT,no,
,STAR CEMENT ANTIRUST,A112,JORHAT,no,OPTIONAL STAR
,STAR CEMENT PPC,A112,JORHAT,yes,MANDATORY STAR
,STAR CEMENT OPC 43,A112,JORHAT,no,
,STAR CEMENT PSC(ADSTAR),A112,JORHAT,no,
,TOPCEM SDC,A112,JORHAT,yes,OTHER COMPETITOR
,STAR,A113,GOLAGHAT,no,
,DALMIA,A113,GOLAGHAT,yes,BENCHMARK COMPETITOR
,TOPCEM,A113,GOLAGHAT,yes,OTHER COMPETITOR
,AMRIT,A113,GOLAGHAT,yes,OTHER COMPETITOR
,MAX,A113,GOLAGHAT,yes,OTHER COMPETITOR
,SURYA GOLD,A113,GOLAGHAT,yes,OTHER COMPETITOR
,AMBUJA,A113,GOLAGHAT,yes,OTHER COMPETITOR
,LAFARGE,A113,GOLAGHAT,no,
,DALMIA DSP,A113,GOLAGHAT,yes,OTHER COMPETITOR
,NUVOCO DURAGUARD,A113,GOLAGHAT,yes,OTHER COMPETITOR
,STAR CEMENT PPC(ADSTAR),A113,GOLAGHAT,no,
,STAR CEMENT ANTIRUST,A113,GOLAGHAT,no,OPTIONAL STAR
,STAR CEMENT PPC,A113,GOLAGHAT,yes,MANDATORY STAR
,STAR CEMENT OPC 43,A113,GOLAGHAT,no,
,STAR CEMENT PSC(ADSTAR),A113,GOLAGHAT,no,
,TOPCEM SDC,A113,GOLAGHAT,yes,OTHER COMPETITOR
,STAR WEATHER SHIELD (TRADE),A113,GOLAGHAT,yes,OTHER COMPETITOR
,ULTRATECH,A113,GOLAGHAT,yes,BENCHMARK COMPETITOR
,ULTRATECH SUPER,A113,GOLAGHAT,yes,OTHER COMPETITOR
,ULTRATECH PREMIUM,A113,GOLAGHAT,yes,OTHER COMPETITOR
,STAR DHALAI MASTER TRADE,A113,GOLAGHAT,yes,OPTIONAL STAR
,DALMIA,A114,SIBSAGAR,yes,BENCHMARK COMPETITOR
,DALMIA DSP,A114,SIBSAGAR,yes,OTHER COMPETITOR
,AMRIT,A114,SIBSAGAR,yes,OTHER COMPETITOR
,BLACK TIGER,A114,SIBSAGAR,yes,OTHER COMPETITOR
,TOPCEM SDC,A114,SIBSAGAR,yes,OTHER COMPETITOR
,STAR WEATHER SHIELD (TRADE),A114,SIBSAGAR,yes,OTHER COMPETITOR
,ULTRATECH,A114,SIBSAGAR,yes,BENCHMARK COMPETITOR
,ULTRATECH SUPER,A114,SIBSAGAR,yes,OTHER COMPETITOR
,ULTRATECH PREMIUM,A114,SIBSAGAR,yes,OTHER COMPETITOR
,TOPCEM,A114,SIBSAGAR,yes,OTHER COMPETITOR
,STAR DHALAI MASTER TRADE,A114,SIBSAGAR,yes,OPTIONAL STAR
,MAX,A114,SIBSAGAR,yes,OTHER COMPETITOR
,STAR CEMENT PPC(ADSTAR),A114,SIBSAGAR,no,
,STAR CEMENT ANTIRUST,A114,SIBSAGAR,no,OPTIONAL STAR
,STAR CEMENT PPC,A114,SIBSAGAR,yes,MANDATORY STAR
,STAR CEMENT OPC 43,A114,SIBSAGAR,no,
,STAR CEMENT PSC(ADSTAR),A114,SIBSAGAR,no,
,STAR,A115,DIBRUGARH,no,
,DALMIA,A115,DIBRUGARH,yes,BENCHMARK COMPETITOR
,TOPCEM,A115,DIBRUGARH,yes,OTHER COMPETITOR
,AMRIT,A115,DIBRUGARH,yes,OTHER COMPETITOR
,MAX,A115,DIBRUGARH,yes,OTHER COMPETITOR
,SURYA GOLD,A115,DIBRUGARH,yes,OTHER COMPETITOR
,AMBUJA,A115,DIBRUGARH,yes,OTHER COMPETITOR
,LAFARGE,A115,DIBRUGARH,no,
,SURAKSHA,A115,DIBRUGARH,yes,OTHER COMPETITOR
,ATIBAL,A115,DIBRUGARH,yes,OTHER COMPETITOR
,DRAGON,A115,DIBRUGARH,yes,OTHER COMPETITOR
,DALMIA DSP,A115,DIBRUGARH,yes,OTHER COMPETITOR
,NUVOCO DURAGUARD,A115,DIBRUGARH,yes,OTHER COMPETITOR
